04/04/2018 10:51:08	     0.150 MHz	 11.0 V/m	-11.5 dBm	OK
04/04/2018 10:51:12	     0.160 MHz	 11.2 V/m	-11.7 dBm	OK
04/04/2018 10:51:17	     0.170 MHz	 11.2 V/m	-12.2 dBm	OK
04/04/2018 10:51:21	     0.180 MHz	 11.2 V/m	-12.4 dBm	OK
04/04/2018 10:51:26	     0.190 MHz	 11.2 V/m	-12.8 dBm	OK
04/04/2018 10:51:30	     0.200 MHz	 11.2 V/m	-13.0 dBm	OK
04/04/2018 10:51:34	     0.210 MHz	 11.2 V/m	-13.2 dBm	OK
04/04/2018 10:51:38	     0.220 MHz	 11.2 V/m	-13.5 dBm	OK
04/04/2018 10:51:42	     0.230 MHz	 11.2 V/m	-13.7 dBm	OK
04/04/2018 10:51:46	     0.240 MHz	 11.2 V/m	-13.8 dBm	OK
04/04/2018 10:51:50	     0.250 MHz	 11.2 V/m	-14.0 dBm	OK
04/04/2018 10:51:54	     0.260 MHz	 11.2 V/m	-14.2 dBm	OK
04/04/2018 10:51:58	     0.270 MHz	 11.0 V/m	-14.4 dBm	OK
04/04/2018 10:52:01	     0.280 MHz	 11.2 V/m	-14.4 dBm	OK
04/04/2018 10:52:05	     0.290 MHz	 11.2 V/m	-14.5 dBm	OK
04/04/2018 10:52:09	     0.300 MHz	 11.2 V/m	-14.7 dBm	OK
04/04/2018 10:52:12	     0.310 MHz	 11.2 V/m	-14.7 dBm	OK
04/04/2018 10:52:16	     0.320 MHz	 11.2 V/m	-14.7 dBm	OK
04/04/2018 10:52:20	     0.330 MHz	 11.0 V/m	-14.9 dBm	OK
04/04/2018 10:52:23	     0.340 MHz	 11.2 V/m	-14.9 dBm	OK
04/04/2018 10:52:26	     0.350 MHz	 11.2 V/m	-14.9 dBm	OK
04/04/2018 10:52:29	     0.360 MHz	 11.2 V/m	-14.9 dBm	OK
04/04/2018 10:52:33	     0.370 MHz	 11.2 V/m	-15.0 dBm	OK
04/04/2018 10:52:36	     0.380 MHz	 11.2 V/m	-15.0 dBm	OK
04/04/2018 10:52:39	     0.390 MHz	 11.2 V/m	-15.0 dBm	OK
04/04/2018 10:52:42	     0.400 MHz	 11.2 V/m	-15.0 dBm	OK
04/04/2018 10:52:45	     0.410 MHz	 11.2 V/m	-15.0 dBm	OK
04/04/2018 10:52:48	     0.420 MHz	 11.2 V/m	-15.0 dBm	OK
04/04/2018 10:52:51	     0.430 MHz	 11.2 V/m	-15.0 dBm	OK
04/04/2018 10:52:54	     0.440 MHz	 11.2 V/m	-15.0 dBm	OK
04/04/2018 10:52:57	     0.450 MHz	 11.2 V/m	-15.0 dBm	OK
