05/04/2018 13:46:19:	RSET

05/04/2018 13:46:22:	DIGO: 0

05/04/2018 13:46:22:	SCNT: 0

05/04/2018 13:46:22:	SWPT: 0

05/04/2018 13:46:22:	SELI: 1

05/04/2018 13:46:23:	ANIN: 0

05/04/2018 13:46:23:	ANIF: 1

05/04/2018 13:46:23:	ANIF: 2

05/04/2018 13:46:24:	ANIF: 3

05/04/2018 13:46:24:	ANIF: 4

05/04/2018 13:46:24:	ANOF: 0

05/04/2018 13:46:24:	ANOF: 1

05/04/2018 13:46:25:	STAT

05/04/2018 13:46:25:	STAT

05/04/2018 13:46:25:	DIGO: 0

05/04/2018 13:46:37:	DIGO: 0

05/04/2018 13:46:41:	DIGO: 4

05/04/2018 13:46:42:	DIGO: 0

05/04/2018 13:46:47:	DIGO: 8

05/04/2018 13:46:48:	DIGO: 0

05/04/2018 13:46:49:	STAT

05/04/2018 13:46:49:	STAT

05/04/2018 13:46:50:	DIGO: 0

05/04/2018 13:46:54:	DIGO: 4

05/04/2018 13:46:55:	DIGO: 0

05/04/2018 13:46:59:	DIGO: 8

05/04/2018 13:47:01:	DIGO: 0

05/04/2018 13:47:02:	STAT

05/04/2018 13:47:02:	DIGO: 0

05/04/2018 13:47:07:	DIGO: 4

05/04/2018 13:47:08:	DIGO: 0

05/04/2018 13:47:12:	DIGO: 8

05/04/2018 13:47:13:	DIGO: 0

05/04/2018 13:47:14:	STAT

05/04/2018 13:47:15:	DIGO: 0

05/04/2018 13:47:19:	DIGO: 4

05/04/2018 13:47:20:	DIGO: 0

05/04/2018 13:47:24:	DIGO: 8

05/04/2018 13:47:25:	DIGO: 0

05/04/2018 13:47:26:	STAT

05/04/2018 13:47:27:	DIGO: 0

05/04/2018 13:47:31:	DIGO: 4

05/04/2018 13:47:32:	DIGO: 0

05/04/2018 13:47:36:	DIGO: 8

05/04/2018 13:47:37:	DIGO: 0

05/04/2018 13:47:39:	STAT

05/04/2018 13:47:40:	DIGO: 0

05/04/2018 13:47:44:	DIGO: 4

05/04/2018 13:47:45:	DIGO: 0

05/04/2018 13:47:49:	DIGO: 8

05/04/2018 13:47:50:	DIGO: 0

05/04/2018 13:47:51:	STAT

05/04/2018 13:47:52:	DIGO: 0

05/04/2018 13:47:56:	DIGO: 4

05/04/2018 13:47:57:	DIGO: 0

05/04/2018 13:48:01:	DIGO: 8

05/04/2018 13:48:02:	DIGO: 0

05/04/2018 13:48:03:	STAT

05/04/2018 13:48:03:	DIGO: 0

05/04/2018 13:48:07:	DIGO: 4

05/04/2018 13:48:09:	DIGO: 0

05/04/2018 13:48:13:	DIGO: 8

05/04/2018 13:48:14:	DIGO: 0

05/04/2018 13:48:15:	STAT

05/04/2018 13:48:16:	DIGO: 0

05/04/2018 13:48:20:	DIGO: 4

05/04/2018 13:48:21:	DIGO: 0

05/04/2018 13:48:25:	DIGO: 8

05/04/2018 13:48:27:	DIGO: 0

05/04/2018 13:48:28:	STAT

05/04/2018 13:48:28:	DIGO: 0

05/04/2018 13:48:33:	DIGO: 4

05/04/2018 13:48:34:	DIGO: 0

05/04/2018 13:48:38:	DIGO: 8

05/04/2018 13:48:39:	DIGO: 0

05/04/2018 13:48:40:	STAT

05/04/2018 13:48:40:	DIGO: 0

05/04/2018 13:48:45:	DIGO: 4

05/04/2018 13:48:46:	DIGO: 0

05/04/2018 13:48:50:	DIGO: 8

05/04/2018 13:48:51:	DIGO: 0

05/04/2018 13:48:52:	STAT

05/04/2018 13:48:53:	DIGO: 0

05/04/2018 13:48:57:	DIGO: 4

05/04/2018 13:48:58:	DIGO: 0

05/04/2018 13:49:02:	DIGO: 8

05/04/2018 13:49:03:	DIGO: 0

05/04/2018 13:49:04:	STAT

05/04/2018 13:49:04:	DIGO: 0

05/04/2018 13:49:09:	DIGO: 4

05/04/2018 13:49:10:	DIGO: 0

05/04/2018 13:49:14:	DIGO: 8

05/04/2018 13:49:15:	DIGO: 0

05/04/2018 13:49:16:	STAT

05/04/2018 13:49:17:	DIGO: 0

05/04/2018 13:49:21:	DIGO: 4

05/04/2018 13:49:22:	DIGO: 0

05/04/2018 13:49:26:	DIGO: 8

05/04/2018 13:49:27:	DIGO: 0

05/04/2018 13:49:28:	STAT

05/04/2018 13:49:28:	DIGO: 0

05/04/2018 13:49:33:	DIGO: 4

05/04/2018 13:49:34:	DIGO: 0

05/04/2018 13:49:38:	DIGO: 8

05/04/2018 13:49:39:	DIGO: 0

05/04/2018 13:49:40:	STAT

05/04/2018 13:49:41:	DIGO: 0

05/04/2018 13:49:45:	DIGO: 4

05/04/2018 13:49:46:	DIGO: 0

05/04/2018 13:49:50:	DIGO: 8

05/04/2018 13:49:51:	DIGO: 0

05/04/2018 13:49:52:	STAT

05/04/2018 13:49:52:	DIGO: 0

05/04/2018 13:49:57:	DIGO: 4

05/04/2018 13:49:58:	DIGO: 0

05/04/2018 13:50:02:	DIGO: 8

05/04/2018 13:50:03:	DIGO: 0

05/04/2018 13:50:04:	STAT

05/04/2018 13:50:05:	DIGO: 0

05/04/2018 13:50:09:	DIGO: 4

05/04/2018 13:50:10:	DIGO: 0

05/04/2018 13:50:15:	DIGO: 8

05/04/2018 13:50:16:	DIGO: 0

05/04/2018 13:50:17:	STAT

05/04/2018 13:50:18:	DIGO: 0

05/04/2018 13:50:23:	DIGO: 4

05/04/2018 13:50:24:	DIGO: 0

05/04/2018 13:50:28:	DIGO: 8

05/04/2018 13:50:29:	DIGO: 0

05/04/2018 13:50:30:	STAT

05/04/2018 13:50:30:	DIGO: 0

05/04/2018 13:50:35:	DIGO: 4

05/04/2018 13:50:36:	DIGO: 0

05/04/2018 13:50:40:	DIGO: 8

05/04/2018 13:50:41:	DIGO: 0

05/04/2018 13:50:42:	STAT

05/04/2018 13:50:43:	DIGO: 0

05/04/2018 13:50:47:	DIGO: 4

05/04/2018 13:50:48:	DIGO: 0

05/04/2018 13:50:52:	DIGO: 8

05/04/2018 13:50:53:	DIGO: 0

05/04/2018 13:50:54:	STAT

05/04/2018 13:50:54:	DIGO: 0

05/04/2018 13:50:59:	DIGO: 4

05/04/2018 13:51:00:	DIGO: 0

05/04/2018 13:51:04:	DIGO: 8

05/04/2018 13:51:05:	DIGO: 0

05/04/2018 13:51:06:	STAT

05/04/2018 13:51:07:	DIGO: 0

05/04/2018 13:51:11:	DIGO: 4

05/04/2018 13:51:12:	DIGO: 0

05/04/2018 13:51:16:	DIGO: 8

05/04/2018 13:51:17:	DIGO: 0

05/04/2018 13:51:19:	STAT

05/04/2018 13:51:20:	DIGO: 0

05/04/2018 13:51:24:	DIGO: 4

05/04/2018 13:51:25:	DIGO: 0

05/04/2018 13:51:29:	DIGO: 8

05/04/2018 13:51:30:	DIGO: 0

05/04/2018 13:51:31:	STAT

05/04/2018 13:51:31:	DIGO: 0

05/04/2018 13:51:36:	DIGO: 4

05/04/2018 13:51:37:	DIGO: 0

05/04/2018 13:51:41:	DIGO: 8

05/04/2018 13:51:42:	DIGO: 0

05/04/2018 13:51:43:	STAT

05/04/2018 13:51:43:	DIGO: 0

05/04/2018 13:51:48:	DIGO: 4

05/04/2018 13:51:49:	DIGO: 0

05/04/2018 13:51:53:	DIGO: 8

05/04/2018 13:51:54:	DIGO: 0

05/04/2018 13:51:55:	STAT

05/04/2018 13:51:55:	DIGO: 0

05/04/2018 13:52:00:	DIGO: 4

05/04/2018 13:52:01:	DIGO: 0

05/04/2018 13:52:05:	DIGO: 8

05/04/2018 13:52:06:	DIGO: 0

05/04/2018 13:52:07:	STAT

05/04/2018 13:52:07:	DIGO: 0

05/04/2018 13:52:12:	DIGO: 4

05/04/2018 13:52:13:	DIGO: 0

05/04/2018 13:52:17:	DIGO: 8

05/04/2018 13:52:18:	DIGO: 0

05/04/2018 13:52:19:	STAT

05/04/2018 13:52:20:	DIGO: 0

05/04/2018 13:52:24:	DIGO: 4

05/04/2018 13:52:25:	DIGO: 0

05/04/2018 13:52:29:	DIGO: 8

05/04/2018 13:52:30:	DIGO: 0

05/04/2018 13:52:31:	STAT

