16/11/2016 16:05:46	    27.000 MHz	  4.1 V/m	-18.5 dBm	OK
16/11/2016 16:05:50	    27.540 MHz	  4.0 V/m	-18.1 dBm	OK
16/11/2016 16:05:53	    28.091 MHz	  4.1 V/m	-18.1 dBm	OK
16/11/2016 16:05:57	    28.653 MHz	  4.7 V/m	-18.1 dBm	OK
16/11/2016 16:06:01	    29.226 MHz	  5.1 V/m	-18.1 dBm	OK
16/11/2016 16:06:05	    29.810 MHz	  4.7 V/m	-18.1 dBm	OK
16/11/2016 16:06:09	    30.406 MHz	  4.1 V/m	-18.1 dBm	OK
16/11/2016 16:06:12	    31.015 MHz	  3.9 V/m	-18.1 dBm	OK
16/11/2016 16:06:16	    31.635 MHz	  4.1 V/m	-18.1 dBm	OK
16/11/2016 16:06:20	    32.267 MHz	  4.5 V/m	-18.1 dBm	OK
16/11/2016 16:06:23	    32.913 MHz	  4.5 V/m	-18.1 dBm	OK
16/11/2016 16:06:27	    33.571 MHz	  4.0 V/m	-18.1 dBm	OK
16/11/2016 16:06:31	    34.243 MHz	  3.9 V/m	-17.6 dBm	OK
16/11/2016 16:06:34	    34.927 MHz	  4.1 V/m	-17.6 dBm	OK
16/11/2016 16:06:38	    35.626 MHz	  4.3 V/m	-17.6 dBm	OK
16/11/2016 16:06:41	    36.338 MHz	  4.1 V/m	-17.6 dBm	OK
16/11/2016 16:06:45	    37.065 MHz	  4.1 V/m	-16.8 dBm	OK
16/11/2016 16:06:48	    37.807 MHz	  4.1 V/m	-16.8 dBm	OK
16/11/2016 16:06:51	    38.563 MHz	  4.1 V/m	-16.8 dBm	OK
16/11/2016 16:06:55	    39.334 MHz	  4.1 V/m	-16.8 dBm	OK
16/11/2016 16:07:00	    40.121 MHz	  4.3 V/m	-15.5 dBm	OK
