23/11/2016 15:35:15	     1.000 MHz	 10.4 V/m	-22.6 dBm	OK
23/11/2016 15:35:19	     1.010 MHz	 10.5 V/m	-22.4 dBm	OK
23/11/2016 15:35:23	     1.020 MHz	 10.5 V/m	-22.4 dBm	OK
23/11/2016 15:35:27	     1.030 MHz	 10.4 V/m	-22.4 dBm	OK
23/11/2016 15:35:31	     1.041 MHz	 10.4 V/m	-22.4 dBm	OK
23/11/2016 15:35:35	     1.051 MHz	 10.4 V/m	-22.4 dBm	OK
23/11/2016 15:35:39	     1.062 MHz	 10.4 V/m	-22.4 dBm	OK
23/11/2016 15:35:43	     1.072 MHz	 10.4 V/m	-22.4 dBm	OK
23/11/2016 15:35:47	     1.083 MHz	 10.4 V/m	-22.4 dBm	OK
23/11/2016 15:35:50	     1.094 MHz	 10.4 V/m	-22.4 dBm	OK
23/11/2016 15:35:53	     1.105 MHz	 10.4 V/m	-22.4 dBm	OK
23/11/2016 15:35:56	     1.116 MHz	 10.4 V/m	-22.4 dBm	OK
23/11/2016 15:35:59	     1.127 MHz	 10.4 V/m	-22.4 dBm	OK
23/11/2016 15:36:02	     1.138 MHz	 10.4 V/m	-22.4 dBm	OK
23/11/2016 15:36:06	     1.149 MHz	 10.4 V/m	-22.4 dBm	OK
23/11/2016 15:36:10	     1.161 MHz	 10.4 V/m	-22.4 dBm	OK
23/11/2016 15:36:14	     1.173 MHz	 10.4 V/m	-22.4 dBm	OK
23/11/2016 15:36:18	     1.184 MHz	 10.4 V/m	-22.4 dBm	OK
23/11/2016 15:36:21	     1.196 MHz	 10.4 V/m	-22.4 dBm	OK
23/11/2016 15:36:24	     1.208 MHz	 10.4 V/m	-22.4 dBm	OK
23/11/2016 15:36:27	     1.220 MHz	 10.4 V/m	-22.4 dBm	OK
23/11/2016 15:36:30	     1.232 MHz	 10.4 V/m	-22.4 dBm	OK
23/11/2016 15:36:34	     1.245 MHz	 10.4 V/m	-22.4 dBm	OK
23/11/2016 15:36:37	     1.257 MHz	 10.4 V/m	-22.4 dBm	OK
23/11/2016 15:36:41	     1.270 MHz	 10.4 V/m	-22.4 dBm	OK
23/11/2016 15:36:44	     1.282 MHz	 10.4 V/m	-22.4 dBm	OK
23/11/2016 15:36:48	     1.295 MHz	 10.5 V/m	-22.2 dBm	OK
23/11/2016 15:36:51	     1.308 MHz	 10.4 V/m	-22.2 dBm	OK
23/11/2016 15:36:55	     1.321 MHz	 10.4 V/m	-22.2 dBm	OK
23/11/2016 15:36:59	     1.335 MHz	 10.4 V/m	-22.2 dBm	OK
23/11/2016 15:37:02	     1.348 MHz	 10.4 V/m	-22.2 dBm	OK
23/11/2016 15:37:05	     1.361 MHz	 10.4 V/m	-22.2 dBm	OK
23/11/2016 15:37:09	     1.375 MHz	 10.4 V/m	-22.2 dBm	OK
23/11/2016 15:37:12	     1.389 MHz	 10.4 V/m	-22.2 dBm	OK
23/11/2016 15:37:15	     1.403 MHz	 10.4 V/m	-22.2 dBm	OK
23/11/2016 15:37:18	     1.417 MHz	 10.4 V/m	-22.2 dBm	OK
23/11/2016 15:37:21	     1.431 MHz	 10.4 V/m	-22.2 dBm	OK
23/11/2016 15:37:24	     1.445 MHz	 10.4 V/m	-22.2 dBm	OK
23/11/2016 15:37:27	     1.460 MHz	 10.4 V/m	-22.2 dBm	OK
23/11/2016 15:37:31	     1.474 MHz	 10.4 V/m	-22.2 dBm	OK
23/11/2016 15:37:35	     1.489 MHz	 10.4 V/m	-22.2 dBm	OK
23/11/2016 15:37:38	     1.504 MHz	 10.4 V/m	-22.2 dBm	OK
23/11/2016 15:37:42	     1.519 MHz	 10.4 V/m	-22.2 dBm	OK
23/11/2016 15:37:46	     1.534 MHz	 10.4 V/m	-22.2 dBm	OK
23/11/2016 15:37:50	     1.549 MHz	 10.7 V/m	-21.8 dBm	OK
23/11/2016 15:37:54	     1.565 MHz	 10.7 V/m	-21.8 dBm	OK
23/11/2016 15:37:57	     1.580 MHz	 10.7 V/m	-21.8 dBm	OK
23/11/2016 15:38:01	     1.596 MHz	 10.5 V/m	-21.8 dBm	OK
23/11/2016 15:38:04	     1.612 MHz	 10.5 V/m	-21.8 dBm	OK
23/11/2016 15:38:07	     1.628 MHz	 10.5 V/m	-21.8 dBm	OK
23/11/2016 15:38:11	     1.645 MHz	 10.5 V/m	-21.8 dBm	OK
23/11/2016 15:38:14	     1.661 MHz	 10.5 V/m	-21.8 dBm	OK
23/11/2016 15:38:18	     1.678 MHz	 10.5 V/m	-21.8 dBm	OK
23/11/2016 15:38:21	     1.694 MHz	 10.5 V/m	-21.8 dBm	OK
23/11/2016 15:38:25	     1.711 MHz	 10.5 V/m	-21.8 dBm	OK
23/11/2016 15:38:28	     1.729 MHz	 10.5 V/m	-21.8 dBm	OK
23/11/2016 15:38:32	     1.746 MHz	 10.5 V/m	-21.8 dBm	OK
23/11/2016 15:38:35	     1.763 MHz	 10.5 V/m	-21.8 dBm	OK
23/11/2016 15:38:39	     1.781 MHz	 10.5 V/m	-21.8 dBm	OK
23/11/2016 15:38:42	     1.799 MHz	 10.5 V/m	-21.8 dBm	OK
23/11/2016 15:38:45	     1.817 MHz	 10.5 V/m	-21.8 dBm	OK
23/11/2016 15:38:49	     1.835 MHz	 10.5 V/m	-21.8 dBm	OK
23/11/2016 15:38:52	     1.853 MHz	 10.5 V/m	-21.8 dBm	OK
23/11/2016 15:38:56	     1.872 MHz	 10.5 V/m	-21.8 dBm	OK
23/11/2016 15:39:00	     1.890 MHz	 10.5 V/m	-21.8 dBm	OK
23/11/2016 15:39:03	     1.909 MHz	 10.5 V/m	-21.8 dBm	OK
23/11/2016 15:39:06	     1.928 MHz	 10.5 V/m	-21.8 dBm	OK
23/11/2016 15:39:09	     1.948 MHz	 10.5 V/m	-21.8 dBm	OK
23/11/2016 15:39:12	     1.967 MHz	 10.5 V/m	-21.8 dBm	OK
23/11/2016 15:39:15	     1.987 MHz	 10.5 V/m	-21.8 dBm	OK
23/11/2016 15:39:19	     2.007 MHz	 10.5 V/m	-21.8 dBm	OK
23/11/2016 15:39:22	     2.027 MHz	 10.5 V/m	-21.8 dBm	OK
23/11/2016 15:39:26	     2.047 MHz	 10.5 V/m	-21.8 dBm	OK
23/11/2016 15:39:29	     2.068 MHz	 10.5 V/m	-21.8 dBm	OK
23/11/2016 15:39:33	     2.088 MHz	 10.5 V/m	-21.8 dBm	OK
23/11/2016 15:39:36	     2.109 MHz	 10.5 V/m	-21.8 dBm	OK
23/11/2016 15:39:39	     2.130 MHz	 10.5 V/m	-21.8 dBm	OK
23/11/2016 15:39:42	     2.152 MHz	 10.5 V/m	-21.8 dBm	OK
23/11/2016 15:39:46	     2.173 MHz	 10.5 V/m	-21.8 dBm	OK
23/11/2016 15:39:50	     2.195 MHz	 10.5 V/m	-21.8 dBm	OK
23/11/2016 15:39:54	     2.217 MHz	 10.5 V/m	-21.8 dBm	OK
23/11/2016 15:39:57	     2.239 MHz	 10.5 V/m	-21.8 dBm	OK
23/11/2016 15:40:00	     2.261 MHz	 10.5 V/m	-21.8 dBm	OK
23/11/2016 15:40:04	     2.284 MHz	 10.5 V/m	-21.8 dBm	OK
23/11/2016 15:40:08	     2.307 MHz	 10.5 V/m	-21.8 dBm	OK
23/11/2016 15:40:12	     2.330 MHz	 10.5 V/m	-21.8 dBm	OK
23/11/2016 15:40:16	     2.353 MHz	 10.5 V/m	-21.8 dBm	OK
23/11/2016 15:40:19	     2.377 MHz	 10.5 V/m	-21.8 dBm	OK
23/11/2016 15:40:23	     2.400 MHz	 10.5 V/m	-21.8 dBm	OK
23/11/2016 15:40:27	     2.424 MHz	 10.5 V/m	-21.8 dBm	OK
23/11/2016 15:40:30	     2.449 MHz	 10.5 V/m	-21.8 dBm	OK
23/11/2016 15:40:33	     2.473 MHz	 10.5 V/m	-21.8 dBm	OK
23/11/2016 15:40:37	     2.498 MHz	 10.5 V/m	-21.8 dBm	OK
23/11/2016 15:40:41	     2.523 MHz	 10.5 V/m	-21.8 dBm	OK
23/11/2016 15:40:44	     2.548 MHz	 10.5 V/m	-21.8 dBm	OK
23/11/2016 15:40:47	     2.574 MHz	 10.5 V/m	-21.8 dBm	OK
23/11/2016 15:40:51	     2.599 MHz	 10.7 V/m	-21.8 dBm	OK
23/11/2016 15:40:54	     2.625 MHz	 10.7 V/m	-21.8 dBm	OK
23/11/2016 15:40:57	     2.652 MHz	 10.7 V/m	-21.8 dBm	OK
23/11/2016 15:41:00	     2.678 MHz	 10.7 V/m	-21.8 dBm	OK
