09/12/2016 12:56:23	     5.000 MHz	  3.9 V/m	-23.3 dBm	OK
09/12/2016 12:56:27	     5.025 MHz	  4.0 V/m	-22.9 dBm	OK
09/12/2016 12:56:31	     5.050 MHz	  4.0 V/m	-22.9 dBm	OK
09/12/2016 12:56:34	     5.075 MHz	  4.0 V/m	-22.9 dBm	OK
09/12/2016 12:56:38	     5.101 MHz	  4.0 V/m	-22.9 dBm	OK
09/12/2016 12:56:41	     5.126 MHz	  4.0 V/m	-22.9 dBm	OK
09/12/2016 12:56:45	     5.152 MHz	  4.0 V/m	-22.9 dBm	OK
09/12/2016 12:56:48	     5.178 MHz	  4.0 V/m	-22.9 dBm	OK
09/12/2016 12:56:51	     5.204 MHz	  4.0 V/m	-22.9 dBm	OK
09/12/2016 12:56:54	     5.230 MHz	  4.0 V/m	-22.9 dBm	OK
09/12/2016 12:56:57	     5.256 MHz	  4.0 V/m	-22.9 dBm	OK
09/12/2016 12:57:00	     5.282 MHz	  4.0 V/m	-22.9 dBm	OK
09/12/2016 12:57:04	     5.308 MHz	  4.0 V/m	-22.9 dBm	OK
09/12/2016 12:57:07	     5.335 MHz	  4.0 V/m	-22.9 dBm	OK
09/12/2016 12:57:10	     5.362 MHz	  4.1 V/m	-22.9 dBm	OK
09/12/2016 12:57:13	     5.388 MHz	  4.1 V/m	-22.9 dBm	OK
09/12/2016 12:57:16	     5.415 MHz	  4.1 V/m	-22.9 dBm	OK
09/12/2016 12:57:19	     5.442 MHz	  4.1 V/m	-22.9 dBm	OK
09/12/2016 12:57:22	     5.470 MHz	  4.1 V/m	-22.9 dBm	OK
09/12/2016 12:57:25	     5.497 MHz	  4.1 V/m	-22.9 dBm	OK
09/12/2016 12:57:28	     5.524 MHz	  4.1 V/m	-22.9 dBm	OK
09/12/2016 12:57:31	     5.552 MHz	  4.1 V/m	-22.9 dBm	OK
09/12/2016 12:57:34	     5.580 MHz	  4.1 V/m	-22.9 dBm	OK
09/12/2016 12:57:37	     5.608 MHz	  4.1 V/m	-22.9 dBm	OK
09/12/2016 12:57:40	     5.636 MHz	  4.1 V/m	-22.9 dBm	OK
09/12/2016 12:57:43	     5.664 MHz	  4.1 V/m	-22.9 dBm	OK
09/12/2016 12:57:46	     5.692 MHz	  4.1 V/m	-22.9 dBm	OK
09/12/2016 12:57:50	     5.721 MHz	  4.1 V/m	-22.9 dBm	OK
09/12/2016 12:57:53	     5.749 MHz	  4.1 V/m	-22.9 dBm	OK
09/12/2016 12:57:57	     5.778 MHz	  4.1 V/m	-22.9 dBm	OK
09/12/2016 12:58:00	     5.807 MHz	  4.1 V/m	-22.9 dBm	OK
09/12/2016 12:58:03	     5.836 MHz	  4.1 V/m	-22.9 dBm	OK
09/12/2016 12:58:07	     5.865 MHz	  4.1 V/m	-22.9 dBm	OK
09/12/2016 12:58:10	     5.895 MHz	  4.1 V/m	-22.9 dBm	OK
09/12/2016 12:58:14	     5.924 MHz	  4.3 V/m	-22.9 dBm	OK
09/12/2016 12:58:17	     5.954 MHz	  4.3 V/m	-22.9 dBm	OK
09/12/2016 12:58:20	     5.983 MHz	  4.3 V/m	-22.9 dBm	OK
09/12/2016 12:58:23	     6.013 MHz	  4.3 V/m	-22.9 dBm	OK
09/12/2016 12:58:26	     6.043 MHz	  4.3 V/m	-22.9 dBm	OK
09/12/2016 12:58:29	     6.074 MHz	  4.3 V/m	-22.9 dBm	OK
09/12/2016 12:58:32	     6.104 MHz	  4.3 V/m	-22.9 dBm	OK
09/12/2016 12:58:35	     6.134 MHz	  4.3 V/m	-22.9 dBm	OK
09/12/2016 12:58:38	     6.165 MHz	  4.3 V/m	-22.9 dBm	OK
09/12/2016 12:58:41	     6.196 MHz	  4.3 V/m	-22.9 dBm	OK
09/12/2016 12:58:44	     6.227 MHz	  4.3 V/m	-22.9 dBm	OK
09/12/2016 12:58:47	     6.258 MHz	  4.3 V/m	-22.9 dBm	OK
09/12/2016 12:58:50	     6.289 MHz	  4.3 V/m	-22.9 dBm	OK
09/12/2016 12:58:53	     6.321 MHz	  4.3 V/m	-22.9 dBm	OK
09/12/2016 12:58:57	     6.352 MHz	  4.3 V/m	-22.9 dBm	OK
09/12/2016 12:59:00	     6.384 MHz	  4.3 V/m	-22.9 dBm	OK
09/12/2016 12:59:03	     6.416 MHz	  4.3 V/m	-22.9 dBm	OK
09/12/2016 12:59:06	     6.448 MHz	  4.3 V/m	-22.9 dBm	OK
09/12/2016 12:59:10	     6.480 MHz	  4.3 V/m	-22.9 dBm	OK
09/12/2016 12:59:13	     6.513 MHz	  4.3 V/m	-22.9 dBm	OK
09/12/2016 12:59:16	     6.545 MHz	  4.3 V/m	-22.9 dBm	OK
09/12/2016 12:59:19	     6.578 MHz	  4.3 V/m	-22.9 dBm	OK
09/12/2016 12:59:22	     6.611 MHz	  4.3 V/m	-22.9 dBm	OK
09/12/2016 12:59:25	     6.644 MHz	  4.3 V/m	-22.9 dBm	OK
09/12/2016 12:59:29	     6.677 MHz	  4.3 V/m	-22.9 dBm	OK
09/12/2016 12:59:33	     6.711 MHz	  4.3 V/m	-22.9 dBm	OK
09/12/2016 12:59:36	     6.744 MHz	  4.3 V/m	-22.9 dBm	OK
09/12/2016 12:59:39	     6.778 MHz	  4.3 V/m	-22.9 dBm	OK
09/12/2016 12:59:42	     6.812 MHz	  4.3 V/m	-22.9 dBm	OK
