12/01/2017 14:55:37	     1.000 MHz	 10.4 V/m	-21.1 dBm	OK
12/01/2017 14:55:42	     1.010 MHz	 10.7 V/m	-20.5 dBm	OK
12/01/2017 14:55:45	     1.020 MHz	 11.2 V/m	-20.5 dBm	OK
12/01/2017 14:55:48	     1.030 MHz	 11.2 V/m	-20.5 dBm	OK
12/01/2017 14:55:51	     1.041 MHz	 10.7 V/m	-20.5 dBm	OK
12/01/2017 14:55:55	     1.051 MHz	 10.4 V/m	-20.5 dBm	OK
12/01/2017 14:55:59	     1.062 MHz	 10.4 V/m	-20.5 dBm	OK
12/01/2017 14:56:03	     1.072 MHz	 10.7 V/m	-20.5 dBm	OK
12/01/2017 14:56:07	     1.083 MHz	 10.7 V/m	-20.5 dBm	OK
12/01/2017 14:56:11	     1.094 MHz	 10.4 V/m	-20.5 dBm	OK
12/01/2017 14:56:15	     1.105 MHz	 10.4 V/m	-20.1 dBm	OK
12/01/2017 14:56:19	     1.116 MHz	 10.7 V/m	-20.1 dBm	OK
12/01/2017 14:56:23	     1.127 MHz	 10.4 V/m	-19.9 dBm	OK
12/01/2017 14:56:27	     1.138 MHz	 11.0 V/m	-19.9 dBm	OK
12/01/2017 14:56:30	     1.149 MHz	 11.0 V/m	-19.9 dBm	OK
12/01/2017 14:56:34	     1.161 MHz	 10.4 V/m	-19.7 dBm	OK
12/01/2017 14:56:37	     1.173 MHz	 10.5 V/m	-19.7 dBm	OK
12/01/2017 14:56:41	     1.184 MHz	 11.0 V/m	-19.7 dBm	OK
12/01/2017 14:56:47	     1.196 MHz	 10.5 V/m	-19.3 dBm	OK
12/01/2017 14:56:50	     1.208 MHz	 11.0 V/m	-19.3 dBm	OK
12/01/2017 14:56:53	     1.220 MHz	 11.2 V/m	-19.3 dBm	OK
12/01/2017 14:56:57	     1.232 MHz	 10.5 V/m	-19.1 dBm	OK
12/01/2017 14:57:01	     1.245 MHz	 10.4 V/m	-19.1 dBm	OK
12/01/2017 14:57:04	     1.257 MHz	 10.4 V/m	-19.1 dBm	OK
