11/01/2017 16:14:40	  1000.000 MHz	  0.3 V/m	 10.0 dBm	OK	IP0: 185	(-14.69 V/m)	Digital: 0XFF
11/01/2017 16:14:40	  1005.000 MHz	  0.3 V/m	 10.0 dBm	FAIL (LIMIT)	IP0: 185	(-18.95 V/m)	Digital: 0XFF
11/01/2017 16:14:44	  1010.025 MHz	  0.3 V/m	 10.0 dBm	FAIL (LIMIT)	IP0: 184	(-18.92 V/m)	Digital: 0XFF
11/01/2017 16:14:48	  1015.075 MHz	  0.4 V/m	 10.0 dBm	FAIL (LIMIT)	IP0: 230	(-25.07 V/m)	Digital: 0XFF
11/01/2017 16:14:52	  1020.151 MHz	  0.3 V/m	 10.0 dBm	FAIL (LIMIT)	IP0: 217	(-25.49 V/m)	Digital: 0XFF
11/01/2017 16:14:56	  1025.251 MHz	  0.4 V/m	 10.0 dBm	FAIL (LIMIT)	IP0: 205	(-24.16 V/m)	Digital: 0XFF
11/01/2017 16:15:00	  1030.378 MHz	  0.3 V/m	 10.0 dBm	FAIL (LIMIT)	IP0: 216	(-22.23 V/m)	Digital: 0XFF
11/01/2017 16:15:04	  1035.529 MHz	  0.3 V/m	 10.0 dBm	FAIL (LIMIT)	IP0: 206	(-22.23 V/m)	Digital: 0XFF
11/01/2017 16:15:08	  1040.707 MHz	  0.3 V/m	 10.0 dBm	FAIL (LIMIT)	IP0: 229	(-22.95 V/m)	Digital: 0XFF
11/01/2017 16:15:12	  1045.911 MHz	  0.4 V/m	 10.0 dBm	FAIL (LIMIT)	IP0: 230	(-22.95 V/m)	Digital: 0XFF
11/01/2017 16:15:16	  1051.140 MHz	  0.3 V/m	 10.0 dBm	FAIL (LIMIT)	IP0: 195	(-21.79 V/m)	Digital: 0XFF
11/01/2017 16:15:20	  1056.396 MHz	  0.4 V/m	 10.0 dBm	FAIL (LIMIT)	IP0: 230	(-20.37 V/m)	Digital: 0XFF
11/01/2017 16:15:24	  1061.678 MHz	  0.4 V/m	 10.0 dBm	FAIL (LIMIT)	IP0: 213	(-24.39 V/m)	Digital: 0XFF
11/01/2017 16:15:28	  1066.986 MHz	  0.4 V/m	 10.0 dBm	FAIL (LIMIT)	IP0: 202	(-24.36 V/m)	Digital: 0XFF
11/01/2017 16:15:32	  1072.321 MHz	  0.3 V/m	 10.0 dBm	FAIL (LIMIT)	IP0: 220	(-21.22 V/m)	Digital: 0XFF
11/01/2017 16:15:36	  1077.683 MHz	  0.4 V/m	 10.0 dBm	FAIL (LIMIT)	IP0: 222	(-22.58 V/m)	Digital: 0XFF
11/01/2017 16:15:40	  1083.071 MHz	  0.4 V/m	 10.0 dBm	FAIL (LIMIT)	IP0: 184	(-25.47 V/m)	Digital: 0XFF
11/01/2017 16:15:44	  1088.487 MHz	  0.4 V/m	 10.0 dBm	FAIL (LIMIT)	IP0: 209	(-29.57 V/m)	Digital: 0XFF
11/01/2017 16:15:48	  1093.929 MHz	  0.3 V/m	 10.0 dBm	FAIL (LIMIT)	IP0: 194	(-27.34 V/m)	Digital: 0XFF
11/01/2017 16:15:52	  1099.399 MHz	  0.4 V/m	 10.0 dBm	FAIL (LIMIT)	IP0: 214	(-24.94 V/m)	Digital: 0XFF
11/01/2017 16:15:56	  1104.896 MHz	  0.4 V/m	 10.0 dBm	FAIL (LIMIT)	IP0: 227	(-22.95 V/m)	Digital: 0XFF
11/01/2017 16:16:00	  1110.420 MHz	  0.4 V/m	 10.0 dBm	FAIL (LIMIT)	IP0: 206	(-22.97 V/m)	Digital: 0XFF
11/01/2017 16:16:04	  1115.972 MHz	  0.4 V/m	 10.0 dBm	FAIL (LIMIT)	IP0: 194	(-23.85 V/m)	Digital: 0XFF
11/01/2017 16:16:08	  1121.552 MHz	  0.3 V/m	 10.0 dBm	FAIL (LIMIT)	IP0: 203	(-25.09 V/m)	Digital: 0XFF
11/01/2017 16:16:12	  1127.160 MHz	  0.3 V/m	 10.0 dBm	FAIL (LIMIT)	IP0: 214	(-26.32 V/m)	Digital: 0XFF
11/01/2017 16:16:16	  1132.796 MHz	  0.3 V/m	 10.0 dBm	FAIL (LIMIT)	IP0: 215	(-28.41 V/m)	Digital: 0XFF
11/01/2017 16:16:20	  1138.460 MHz	  0.3 V/m	 10.0 dBm	FAIL (LIMIT)	IP0: 229	(-25.55 V/m)	Digital: 0XFF
11/01/2017 16:16:24	  1144.152 MHz	  0.3 V/m	 10.0 dBm	FAIL (LIMIT)	IP0: 186	(-18.58 V/m)	Digital: 0XFF
11/01/2017 16:16:28	  1149.873 MHz	  0.3 V/m	 10.0 dBm	FAIL (LIMIT)	IP0: 223	(-19.08 V/m)	Digital: 0XFF
11/01/2017 16:16:32	  1155.622 MHz	  0.4 V/m	 10.0 dBm	FAIL (LIMIT)	IP0: 184	(-18.50 V/m)	Digital: 0XFF
11/01/2017 16:16:36	  1161.400 MHz	  0.3 V/m	 10.0 dBm	FAIL (LIMIT)	IP0: 226	(-18.33 V/m)	Digital: 0XFF
11/01/2017 16:16:40	  1167.207 MHz	  0.3 V/m	 10.0 dBm	FAIL (LIMIT)	IP0: 183	(-22.38 V/m)	Digital: 0XFF
11/01/2017 16:16:44	  1173.043 MHz	  0.3 V/m	 10.0 dBm	FAIL (LIMIT)	IP0: 224	(-21.79 V/m)	Digital: 0XFF
11/01/2017 16:16:48	  1178.908 MHz	  0.3 V/m	 10.0 dBm	FAIL (LIMIT)	IP0: 190	(-22.41 V/m)	Digital: 0XFF
11/01/2017 16:16:52	  1184.803 MHz	  0.3 V/m	 10.0 dBm	FAIL (LIMIT)	IP0: 229	(-24.54 V/m)	Digital: 0XFF
11/01/2017 16:16:56	  1190.727 MHz	  0.4 V/m	 10.0 dBm	FAIL (LIMIT)	IP0: 185	(-23.26 V/m)	Digital: 0XFF
11/01/2017 16:17:00	  1196.681 MHz	  0.4 V/m	 10.0 dBm	FAIL (LIMIT)	IP0: 230	(-23.97 V/m)	Digital: 0XFF
11/01/2017 16:17:04	  1202.664 MHz	  0.3 V/m	 10.0 dBm	FAIL (LIMIT)	IP0: 213	(-24.14 V/m)	Digital: 0XFF
