05/05/2017 11:44:58	    80.000 MHz	  5.4 V/m	-21.7 dBm	OK	IP0: 25989	(4.34 V/m)	Digital: 0XFF
05/05/2017 11:45:03	    80.400 MHz	  5.7 V/m	-21.1 dBm	OK	IP0: 26155	(4.62 V/m)	Digital: 0XFF
05/05/2017 11:45:08	    80.802 MHz	  5.6 V/m	-20.9 dBm	OK	IP0: 26058	(4.61 V/m)	Digital: 0XFF
05/05/2017 11:45:13	    81.206 MHz	  5.6 V/m	-20.7 dBm	OK	IP0: 25958	(4.67 V/m)	Digital: 0XFF
05/05/2017 11:45:18	    81.612 MHz	  5.6 V/m	-20.5 dBm	OK	IP0: 25867	(4.64 V/m)	Digital: 0XFF
05/05/2017 11:45:23	    82.020 MHz	  5.5 V/m	-20.3 dBm	OK	IP0: 25752	(4.67 V/m)	Digital: 0XFF
05/05/2017 11:45:29	    82.430 MHz	  5.4 V/m	-20.5 dBm	OK	IP0: 25569	(4.56 V/m)	Digital: 0XFF
05/05/2017 11:45:35	    82.842 MHz	  5.4 V/m	-20.7 dBm	OK	IP0: 25461	(4.65 V/m)	Digital: 0XFF
05/05/2017 11:45:41	    83.257 MHz	  5.4 V/m	-20.9 dBm	OK	IP0: 25344	(4.68 V/m)	Digital: 0XFF
05/05/2017 11:45:47	    83.673 MHz	  5.5 V/m	-21.1 dBm	OK	IP0: 25327	(4.68 V/m)	Digital: 0XFF
05/05/2017 11:45:53	    84.091 MHz	  5.3 V/m	-21.7 dBm	OK	IP0: 25060	(4.52 V/m)	Digital: 0XFF
05/05/2017 11:45:58	    84.512 MHz	  5.5 V/m	-21.9 dBm	OK	IP0: 25061	(4.69 V/m)	Digital: 0XFF
05/05/2017 11:46:03	    84.934 MHz	  5.6 V/m	-22.0 dBm	OK	IP0: 25194	(4.68 V/m)	Digital: 0XFF
05/05/2017 11:46:09	    85.359 MHz	  5.3 V/m	-22.9 dBm	OK	IP0: 24792	(4.55 V/m)	Digital: 0XFF
05/05/2017 11:46:14	    85.786 MHz	  5.7 V/m	-22.6 dBm	OK	IP0: 25023	(4.62 V/m)	Digital: 0XFF
05/05/2017 11:46:19	    86.215 MHz	  5.7 V/m	-22.5 dBm	OK	IP0: 24947	(4.63 V/m)	Digital: 0XFF
05/05/2017 11:46:24	    86.646 MHz	  5.8 V/m	-22.2 dBm	OK	IP0: 24944	(4.70 V/m)	Digital: 0XFF
05/05/2017 11:46:30	    87.079 MHz	  5.7 V/m	-22.1 dBm	OK	IP0: 24695	(4.61 V/m)	Digital: 0XFF
05/05/2017 11:46:35	    87.514 MHz	  5.9 V/m	-21.5 dBm	OK	IP0: 24743	(4.61 V/m)	Digital: 0XFF
05/05/2017 11:46:40	    87.952 MHz	  5.9 V/m	-21.1 dBm	OK	IP0: 24728	(4.68 V/m)	Digital: 0XFF
05/05/2017 11:46:45	    88.392 MHz	  6.0 V/m	-20.8 dBm	OK	IP0: 24669	(4.68 V/m)	Digital: 0XFF
05/05/2017 11:46:51	    88.834 MHz	  5.9 V/m	-20.8 dBm	OK	IP0: 24489	(4.67 V/m)	Digital: 0XFF
05/05/2017 11:46:57	    89.278 MHz	  5.7 V/m	-21.0 dBm	OK	IP0: 24259	(4.62 V/m)	Digital: 0XFF
05/05/2017 11:47:03	    89.724 MHz	  5.6 V/m	-21.3 dBm	OK	IP0: 24007	(4.52 V/m)	Digital: 0XFF
05/05/2017 11:47:09	    90.173 MHz	  5.7 V/m	-21.3 dBm	OK	IP0: 24062	(4.64 V/m)	Digital: 0XFF
05/05/2017 11:47:15	    90.624 MHz	  5.8 V/m	-21.6 dBm	OK	IP0: 23979	(4.65 V/m)	Digital: 0XFF
05/05/2017 11:47:19	    91.077 MHz	  6.4 V/m	-22.3 dBm	OK	IP0: 23664	(4.50 V/m)	Digital: 0XFF
05/05/2017 11:47:23	    91.532 MHz	  6.2 V/m	-22.4 dBm	OK	IP0: 23794	(4.64 V/m)	Digital: 0XFF
05/05/2017 11:47:29	    91.990 MHz	  5.6 V/m	-23.1 dBm	OK	IP0: 23558	(4.46 V/m)	Digital: 0XFF
05/05/2017 11:47:34	    92.450 MHz	  5.9 V/m	-22.9 dBm	OK	IP0: 23738	(4.63 V/m)	Digital: 0XFF
05/05/2017 11:47:39	    92.912 MHz	  6.1 V/m	-22.6 dBm	OK	IP0: 23952	(4.63 V/m)	Digital: 0XFF
05/05/2017 11:47:45	    93.377 MHz	  6.2 V/m	-22.3 dBm	OK	IP0: 24033	(4.65 V/m)	Digital: 0XFF
05/05/2017 11:47:50	    93.843 MHz	  6.3 V/m	-22.0 dBm	OK	IP0: 24095	(4.61 V/m)	Digital: 0XFF
05/05/2017 11:47:55	    94.313 MHz	  6.2 V/m	-21.9 dBm	OK	IP0: 24040	(4.61 V/m)	Digital: 0XFF
05/05/2017 11:48:00	    94.784 MHz	  6.5 V/m	-21.3 dBm	OK	IP0: 24314	(4.68 V/m)	Digital: 0XFF
05/05/2017 11:48:06	    95.258 MHz	  6.3 V/m	-21.4 dBm	OK	IP0: 24189	(4.64 V/m)	Digital: 0XFF
05/05/2017 11:48:12	    95.734 MHz	  6.3 V/m	-21.3 dBm	OK	IP0: 24308	(4.53 V/m)	Digital: 0XFF
05/05/2017 11:48:18	    96.213 MHz	  6.4 V/m	-21.3 dBm	OK	IP0: 24341	(4.66 V/m)	Digital: 0XFF
05/05/2017 11:48:24	    96.694 MHz	  6.4 V/m	-21.4 dBm	OK	IP0: 24482	(4.56 V/m)	Digital: 0XFF
05/05/2017 11:48:28	    97.178 MHz	  7.2 V/m	-21.6 dBm	OK	IP0: 24539	(4.65 V/m)	Digital: 0XFF
05/05/2017 11:48:34	    97.664 MHz	  6.4 V/m	-21.8 dBm	OK	IP0: 24571	(4.63 V/m)	Digital: 0XFF
05/05/2017 11:48:39	    98.152 MHz	  6.7 V/m	-22.0 dBm	OK	IP0: 24678	(4.66 V/m)	Digital: 0XFF
05/05/2017 11:48:45	    98.643 MHz	  6.3 V/m	-22.3 dBm	OK	IP0: 24635	(4.45 V/m)	Digital: 0XFF
05/05/2017 11:48:50	    99.136 MHz	  6.6 V/m	-22.1 dBm	OK	IP0: 24856	(4.55 V/m)	Digital: 0XFF
