21/06/2017 15:54:27	    50.000 MHz	  3.9 V/m	-18.7 dBm	OK
21/06/2017 15:54:31	    50.250 MHz	  4.1 V/m	-18.3 dBm	OK
21/06/2017 15:54:34	    50.501 MHz	  4.0 V/m	-18.3 dBm	OK
21/06/2017 15:54:38	    50.754 MHz	  4.0 V/m	-18.3 dBm	OK
21/06/2017 15:54:41	    51.008 MHz	  4.0 V/m	-18.3 dBm	OK
21/06/2017 15:54:45	    51.263 MHz	  3.9 V/m	-18.3 dBm	OK
21/06/2017 15:54:48	    51.519 MHz	  3.9 V/m	-18.3 dBm	OK
21/06/2017 15:54:51	    51.776 MHz	  3.9 V/m	-18.3 dBm	OK
21/06/2017 15:54:54	    52.035 MHz	  3.9 V/m	-18.3 dBm	OK
21/06/2017 15:54:58	    52.296 MHz	  4.1 V/m	-17.9 dBm	OK
21/06/2017 15:55:01	    52.557 MHz	  4.0 V/m	-17.9 dBm	OK
21/06/2017 15:55:05	    52.820 MHz	  4.0 V/m	-17.9 dBm	OK
21/06/2017 15:55:09	    53.084 MHz	  4.0 V/m	-17.9 dBm	OK
21/06/2017 15:55:12	    53.349 MHz	  4.0 V/m	-17.9 dBm	OK
21/06/2017 15:55:16	    53.616 MHz	  4.0 V/m	-17.9 dBm	OK
21/06/2017 15:55:19	    53.884 MHz	  3.9 V/m	-17.9 dBm	OK
21/06/2017 15:55:22	    54.154 MHz	  3.9 V/m	-17.9 dBm	OK
21/06/2017 15:55:25	    54.424 MHz	  3.9 V/m	-17.9 dBm	OK
21/06/2017 15:55:29	    54.696 MHz	  4.3 V/m	-17.1 dBm	OK
21/06/2017 15:55:33	    54.970 MHz	  4.1 V/m	-17.1 dBm	OK
21/06/2017 15:55:37	    55.245 MHz	  4.1 V/m	-17.1 dBm	OK
21/06/2017 15:55:41	    55.521 MHz	  4.1 V/m	-17.1 dBm	OK
21/06/2017 15:55:45	    55.799 MHz	  4.3 V/m	-17.1 dBm	OK
21/06/2017 15:55:49	    56.078 MHz	  4.3 V/m	-17.1 dBm	OK
21/06/2017 15:55:52	    56.358 MHz	  4.5 V/m	-17.1 dBm	OK
21/06/2017 15:55:55	    56.640 MHz	  4.5 V/m	-17.1 dBm	OK
21/06/2017 15:55:58	    56.923 MHz	  4.5 V/m	-17.1 dBm	OK
21/06/2017 15:56:02	    57.208 MHz	  4.7 V/m	-17.1 dBm	OK
