22/06/2017 11:45:57	     5.000 MHz	 10.4 V/m	-14.6 dBm	OK
22/06/2017 11:46:01	     5.025 MHz	 10.7 V/m	-14.2 dBm	OK
22/06/2017 11:46:04	     5.050 MHz	 10.7 V/m	-14.2 dBm	OK
22/06/2017 11:46:08	     5.075 MHz	 10.7 V/m	-14.2 dBm	OK
22/06/2017 11:46:12	     5.101 MHz	 10.7 V/m	-14.2 dBm	OK
22/06/2017 11:46:15	     5.126 MHz	 10.7 V/m	-14.2 dBm	OK
22/06/2017 11:46:18	     5.152 MHz	 10.7 V/m	-14.2 dBm	OK
22/06/2017 11:46:22	     5.178 MHz	 10.7 V/m	-14.2 dBm	OK
22/06/2017 11:46:26	     5.204 MHz	 11.0 V/m	-14.2 dBm	OK
22/06/2017 11:46:29	     5.230 MHz	 11.0 V/m	-14.2 dBm	OK
22/06/2017 11:46:33	     5.256 MHz	 11.0 V/m	-14.2 dBm	OK
22/06/2017 11:46:37	     5.282 MHz	 11.0 V/m	-14.2 dBm	OK
22/06/2017 11:46:41	     5.308 MHz	 11.0 V/m	-14.2 dBm	OK
22/06/2017 11:46:45	     5.335 MHz	 11.0 V/m	-14.2 dBm	OK
22/06/2017 11:46:49	     5.362 MHz	 11.2 V/m	-14.2 dBm	OK
22/06/2017 11:46:53	     5.388 MHz	 11.2 V/m	-14.2 dBm	OK
22/06/2017 11:46:57	     5.415 MHz	 11.2 V/m	-14.2 dBm	OK
22/06/2017 11:47:01	     5.442 MHz	 11.2 V/m	-14.2 dBm	OK
22/06/2017 11:47:05	     5.470 MHz	 11.2 V/m	-14.2 dBm	OK
22/06/2017 11:47:09	     5.497 MHz	 11.2 V/m	-14.2 dBm	OK
22/06/2017 11:47:13	     5.524 MHz	 11.4 V/m	-14.2 dBm	OK
22/06/2017 11:47:17	     5.552 MHz	 11.4 V/m	-14.2 dBm	OK
22/06/2017 11:47:20	     5.580 MHz	 11.4 V/m	-14.2 dBm	OK
22/06/2017 11:47:24	     5.608 MHz	 11.4 V/m	-14.2 dBm	OK
22/06/2017 11:47:28	     5.636 MHz	 11.4 V/m	-14.2 dBm	OK
22/06/2017 11:47:32	     5.664 MHz	 11.4 V/m	-14.2 dBm	OK
22/06/2017 11:47:36	     5.692 MHz	 11.4 V/m	-14.2 dBm	OK
22/06/2017 11:47:41	     5.721 MHz	 11.4 V/m	-14.4 dBm	OK
22/06/2017 11:47:45	     5.749 MHz	 11.4 V/m	-14.4 dBm	OK
22/06/2017 11:47:49	     5.778 MHz	 11.4 V/m	-14.4 dBm	OK
22/06/2017 11:47:53	     5.807 MHz	 11.4 V/m	-14.4 dBm	OK
22/06/2017 11:47:57	     5.836 MHz	 11.4 V/m	-14.4 dBm	OK
22/06/2017 11:48:01	     5.865 MHz	 11.4 V/m	-14.4 dBm	OK
22/06/2017 11:48:05	     5.895 MHz	 11.4 V/m	-14.4 dBm	OK
22/06/2017 11:48:08	     5.924 MHz	 11.4 V/m	-14.4 dBm	OK
