27/06/2017 11:17:15	    40.000 MHz	  4.0 V/m	-17.8 dBm	OK
27/06/2017 11:17:19	    40.200 MHz	  4.0 V/m	-17.4 dBm	OK
27/06/2017 11:17:23	    40.401 MHz	  3.9 V/m	-17.4 dBm	OK
27/06/2017 11:17:27	    40.603 MHz	  4.1 V/m	-16.6 dBm	OK
27/06/2017 11:17:30	    40.806 MHz	  4.1 V/m	-16.6 dBm	OK
27/06/2017 11:17:34	    41.010 MHz	  4.1 V/m	-16.6 dBm	OK
27/06/2017 11:17:37	    41.215 MHz	  4.1 V/m	-16.6 dBm	OK
27/06/2017 11:17:40	    41.421 MHz	  4.1 V/m	-16.6 dBm	OK
27/06/2017 11:17:44	    41.628 MHz	  4.3 V/m	-16.6 dBm	OK
27/06/2017 11:17:48	    41.836 MHz	  4.3 V/m	-16.6 dBm	OK
27/06/2017 11:17:51	    42.046 MHz	  4.3 V/m	-16.6 dBm	OK
27/06/2017 11:17:54	    42.256 MHz	  4.3 V/m	-16.6 dBm	OK
27/06/2017 11:17:58	    42.467 MHz	  4.1 V/m	-16.6 dBm	OK
27/06/2017 11:18:02	    42.679 MHz	  3.9 V/m	-16.6 dBm	OK
27/06/2017 11:18:06	    42.893 MHz	  3.9 V/m	-16.0 dBm	OK
27/06/2017 11:18:10	    43.107 MHz	  4.0 V/m	-15.0 dBm	OK
27/06/2017 11:18:14	    43.323 MHz	  4.1 V/m	-14.1 dBm	OK
27/06/2017 11:18:18	    43.539 MHz	  3.9 V/m	-13.9 dBm	OK
27/06/2017 11:18:19	    43.757 MHz	  3.9 V/m	-13.8 dBm	FAIL (LIMIT)
27/06/2017 11:18:23	    43.976 MHz	  3.7 V/m	-13.6 dBm	FAIL (LIMIT)
27/06/2017 11:18:26	    44.196 MHz	  3.5 V/m	-13.6 dBm	FAIL (LIMIT)
27/06/2017 11:18:30	    44.417 MHz	  3.4 V/m	-13.7 dBm	FAIL (LIMIT)
27/06/2017 11:18:33	    44.639 MHz	  3.3 V/m	-13.7 dBm	FAIL (LIMIT)
27/06/2017 11:18:37	    44.862 MHz	  3.2 V/m	-13.8 dBm	FAIL (LIMIT)
