27/06/2017 10:31:46	     5.000 MHz	 10.4 V/m	-14.2 dBm	OK
27/06/2017 10:31:50	     5.025 MHz	 11.4 V/m	-14.3 dBm	OK
27/06/2017 10:31:54	     5.050 MHz	 11.4 V/m	-14.4 dBm	OK
27/06/2017 10:31:57	     5.075 MHz	 11.4 V/m	-14.4 dBm	OK
27/06/2017 10:32:01	     5.101 MHz	 11.4 V/m	-14.4 dBm	OK
27/06/2017 10:32:05	     5.126 MHz	 11.4 V/m	-14.6 dBm	OK
27/06/2017 10:32:08	     5.152 MHz	 11.4 V/m	-14.6 dBm	OK
27/06/2017 10:32:11	     5.178 MHz	 11.4 V/m	-14.6 dBm	OK
27/06/2017 10:32:14	     5.204 MHz	 11.4 V/m	-14.6 dBm	OK
27/06/2017 10:32:18	     5.230 MHz	 11.4 V/m	-14.8 dBm	OK
27/06/2017 10:32:21	     5.256 MHz	 11.4 V/m	-14.8 dBm	OK
27/06/2017 10:32:24	     5.282 MHz	 11.4 V/m	-14.8 dBm	OK
27/06/2017 10:32:27	     5.308 MHz	 11.4 V/m	-14.8 dBm	OK
27/06/2017 10:32:31	     5.335 MHz	 11.4 V/m	-14.9 dBm	OK
27/06/2017 10:32:35	     5.362 MHz	 11.4 V/m	-14.9 dBm	OK
27/06/2017 10:32:39	     5.388 MHz	 11.4 V/m	-15.0 dBm	OK
27/06/2017 10:32:42	     5.415 MHz	 11.4 V/m	-15.0 dBm	OK
27/06/2017 10:32:46	     5.442 MHz	 11.4 V/m	-15.1 dBm	OK
27/06/2017 10:32:49	     5.470 MHz	 11.4 V/m	-15.1 dBm	OK
27/06/2017 10:32:52	     5.497 MHz	 11.4 V/m	-15.1 dBm	OK
27/06/2017 10:32:56	     5.524 MHz	 11.4 V/m	-15.2 dBm	OK
27/06/2017 10:32:59	     5.552 MHz	 11.4 V/m	-15.2 dBm	OK
27/06/2017 10:33:03	     5.580 MHz	 11.2 V/m	-15.4 dBm	OK
27/06/2017 10:33:06	     5.608 MHz	 11.4 V/m	-15.4 dBm	OK
27/06/2017 10:33:09	     5.636 MHz	 11.4 V/m	-15.4 dBm	OK
27/06/2017 10:33:13	     5.664 MHz	 11.4 V/m	-15.4 dBm	OK
27/06/2017 10:33:16	     5.692 MHz	 11.4 V/m	-15.4 dBm	OK
27/06/2017 10:33:19	     5.721 MHz	 11.4 V/m	-15.4 dBm	OK
27/06/2017 10:33:22	     5.749 MHz	 11.4 V/m	-15.4 dBm	OK
27/06/2017 10:33:26	     5.778 MHz	 11.4 V/m	-15.5 dBm	OK
27/06/2017 10:33:30	     5.807 MHz	 11.4 V/m	-15.5 dBm	OK
27/06/2017 10:33:33	     5.836 MHz	 11.4 V/m	-15.5 dBm	OK
27/06/2017 10:33:37	     5.865 MHz	 11.4 V/m	-15.6 dBm	OK
27/06/2017 10:33:40	     5.895 MHz	 11.4 V/m	-15.6 dBm	OK
27/06/2017 10:33:43	     5.924 MHz	 11.4 V/m	-15.6 dBm	OK
27/06/2017 10:33:47	     5.954 MHz	 11.4 V/m	-15.7 dBm	OK
27/06/2017 10:33:51	     5.983 MHz	 11.4 V/m	-15.7 dBm	OK
27/06/2017 10:33:55	     6.013 MHz	 11.4 V/m	-15.7 dBm	OK
27/06/2017 10:33:59	     6.043 MHz	 11.4 V/m	-15.8 dBm	OK
27/06/2017 10:34:02	     6.074 MHz	 11.4 V/m	-15.8 dBm	OK
27/06/2017 10:34:05	     6.104 MHz	 11.4 V/m	-15.8 dBm	OK
27/06/2017 10:34:09	     6.134 MHz	 11.4 V/m	-16.0 dBm	OK
27/06/2017 10:34:12	     6.165 MHz	 11.4 V/m	-16.0 dBm	OK
27/06/2017 10:34:15	     6.196 MHz	 11.4 V/m	-16.0 dBm	OK
27/06/2017 10:34:18	     6.227 MHz	 11.4 V/m	-16.0 dBm	OK
27/06/2017 10:34:21	     6.258 MHz	 11.4 V/m	-16.0 dBm	OK
27/06/2017 10:34:24	     6.289 MHz	 11.4 V/m	-16.0 dBm	OK
27/06/2017 10:34:28	     6.321 MHz	 11.2 V/m	-16.2 dBm	OK
27/06/2017 10:34:32	     6.352 MHz	 11.4 V/m	-16.2 dBm	OK
27/06/2017 10:34:35	     6.384 MHz	 11.4 V/m	-16.2 dBm	OK
27/06/2017 10:34:39	     6.416 MHz	 11.4 V/m	-16.2 dBm	OK
27/06/2017 10:34:43	     6.448 MHz	 11.4 V/m	-16.2 dBm	OK
27/06/2017 10:34:46	     6.480 MHz	 11.4 V/m	-16.2 dBm	OK
27/06/2017 10:34:50	     6.513 MHz	 11.4 V/m	-16.2 dBm	OK
27/06/2017 10:34:54	     6.545 MHz	 11.4 V/m	-16.3 dBm	OK
27/06/2017 10:34:57	     6.578 MHz	 11.4 V/m	-16.3 dBm	OK
27/06/2017 10:35:01	     6.611 MHz	 11.4 V/m	-16.3 dBm	OK
27/06/2017 10:35:05	     6.644 MHz	 11.2 V/m	-16.5 dBm	OK
27/06/2017 10:35:09	     6.677 MHz	 11.4 V/m	-16.5 dBm	OK
27/06/2017 10:35:12	     6.711 MHz	 11.4 V/m	-16.5 dBm	OK
27/06/2017 10:35:15	     6.744 MHz	 11.4 V/m	-16.5 dBm	OK
27/06/2017 10:35:19	     6.778 MHz	 11.4 V/m	-16.5 dBm	OK
27/06/2017 10:35:23	     6.812 MHz	 11.4 V/m	-16.5 dBm	OK
27/06/2017 10:35:27	     6.846 MHz	 11.4 V/m	-16.5 dBm	OK
27/06/2017 10:35:30	     6.880 MHz	 11.4 V/m	-16.5 dBm	OK
27/06/2017 10:35:34	     6.915 MHz	 11.2 V/m	-16.7 dBm	OK
27/06/2017 10:35:37	     6.949 MHz	 11.4 V/m	-16.7 dBm	OK
27/06/2017 10:35:40	     6.984 MHz	 11.4 V/m	-16.7 dBm	OK
27/06/2017 10:35:44	     7.019 MHz	 11.4 V/m	-16.7 dBm	OK
27/06/2017 10:35:47	     7.054 MHz	 11.4 V/m	-16.7 dBm	OK
27/06/2017 10:35:50	     7.089 MHz	 11.4 V/m	-16.7 dBm	OK
27/06/2017 10:35:54	     7.125 MHz	 11.4 V/m	-16.7 dBm	OK
27/06/2017 10:35:57	     7.160 MHz	 11.4 V/m	-16.7 dBm	OK
27/06/2017 10:36:00	     7.196 MHz	 11.4 V/m	-16.7 dBm	OK
27/06/2017 10:36:04	     7.232 MHz	 11.4 V/m	-16.7 dBm	OK
27/06/2017 10:36:08	     7.268 MHz	 11.4 V/m	-16.8 dBm	OK
27/06/2017 10:36:11	     7.305 MHz	 11.4 V/m	-16.8 dBm	OK
27/06/2017 10:36:15	     7.341 MHz	 11.4 V/m	-16.8 dBm	OK
