13/07/2017 16:18:34	    80.000 MHz	  4.8 V/m	  1.0 dBm	OK	IP0: 22032	(0.89 V/m)	Digital: 0XFF
13/07/2017 16:18:34	    80.400 MHz	  4.8 V/m	  1.0 dBm	FAIL (LIMIT)	IP0: 22032	(-0.82 V/m)	Digital: 0XFF
13/07/2017 16:18:39	    80.802 MHz	  5.1 V/m	  1.0 dBm	FAIL (LIMIT)	IP0: 22113	(-0.52 V/m)	Digital: 0XFF
13/07/2017 16:18:44	    81.206 MHz	  5.4 V/m	  1.0 dBm	FAIL (LIMIT)	IP0: 22293	(-0.14 V/m)	Digital: 0XFF
13/07/2017 16:18:49	    81.612 MHz	  5.6 V/m	  1.0 dBm	FAIL (LIMIT)	IP0: 22572	(0.32 V/m)	Digital: 0XFF
13/07/2017 16:18:54	    82.020 MHz	  5.9 V/m	  1.0 dBm	FAIL (LIMIT)	IP0: 22835	(0.76 V/m)	Digital: 0XFF
13/07/2017 16:18:59	    82.430 MHz	  6.2 V/m	  1.0 dBm	FAIL (LIMIT)	IP0: 23077	(1.15 V/m)	Digital: 0XFF
13/07/2017 16:19:04	    82.842 MHz	  6.6 V/m	  1.0 dBm	FAIL (LIMIT)	IP0: 23315	(1.53 V/m)	Digital: 0XFF
13/07/2017 16:19:09	    83.257 MHz	  6.9 V/m	  1.0 dBm	FAIL (LIMIT)	IP0: 23482	(1.83 V/m)	Digital: 0XFF
13/07/2017 16:19:14	    83.673 MHz	  7.2 V/m	  1.0 dBm	FAIL (LIMIT)	IP0: 23577	(2.06 V/m)	Digital: 0XFF
13/07/2017 16:19:19	    84.091 MHz	  7.3 V/m	  1.0 dBm	FAIL (LIMIT)	IP0: 23466	(2.08 V/m)	Digital: 0XFF
13/07/2017 16:19:24	    84.512 MHz	  7.1 V/m	  1.0 dBm	FAIL (LIMIT)	IP0: 23159	(1.88 V/m)	Digital: 0XFF
13/07/2017 16:19:29	    84.934 MHz	  6.7 V/m	  1.0 dBm	FAIL (LIMIT)	IP0: 22809	(1.64 V/m)	Digital: 0XFF
13/07/2017 16:19:34	    85.359 MHz	  6.3 V/m	  1.0 dBm	FAIL (LIMIT)	IP0: 22371	(1.32 V/m)	Digital: 0XFF
13/07/2017 16:19:39	    85.786 MHz	  6.2 V/m	  1.0 dBm	FAIL (LIMIT)	IP0: 22001	(1.07 V/m)	Digital: 0XFF
13/07/2017 16:19:45	    86.215 MHz	  6.1 V/m	  1.0 dBm	FAIL (LIMIT)	IP0: 21586	(0.78 V/m)	Digital: 0XFF
13/07/2017 16:19:50	    86.646 MHz	  6.1 V/m	  1.0 dBm	FAIL (LIMIT)	IP0: 21262	(0.57 V/m)	Digital: 0XFF
13/07/2017 16:19:55	    87.079 MHz	  6.2 V/m	  1.0 dBm	FAIL (LIMIT)	IP0: 21046	(0.46 V/m)	Digital: 0XFF
13/07/2017 16:20:00	    87.514 MHz	  6.4 V/m	  1.0 dBm	FAIL (LIMIT)	IP0: 21041	(0.53 V/m)	Digital: 0XFF
13/07/2017 16:20:05	    87.952 MHz	  6.8 V/m	  1.0 dBm	FAIL (LIMIT)	IP0: 21209	(0.75 V/m)	Digital: 0XFF
13/07/2017 16:20:10	    88.392 MHz	  7.2 V/m	  1.0 dBm	FAIL (LIMIT)	IP0: 21436	(0.99 V/m)	Digital: 0XFF
13/07/2017 16:20:16	    88.834 MHz	  7.8 V/m	  1.0 dBm	FAIL (LIMIT)	IP0: 21776	(1.34 V/m)	Digital: 0XFF
13/07/2017 16:20:21	    89.278 MHz	  8.4 V/m	  1.0 dBm	FAIL (LIMIT)	IP0: 22044	(1.63 V/m)	Digital: 0XFF
13/07/2017 16:20:26	    89.724 MHz	  8.9 V/m	  1.0 dBm	FAIL (LIMIT)	IP0: 22354	(1.96 V/m)	Digital: 0XFF
13/07/2017 16:20:31	    90.173 MHz	  8.9 V/m	  1.0 dBm	FAIL (LIMIT)	IP0: 22431	(2.09 V/m)	Digital: 0XFF
13/07/2017 16:20:36	    90.624 MHz	  8.5 V/m	  1.0 dBm	FAIL (LIMIT)	IP0: 22201	(1.95 V/m)	Digital: 0XFF
13/07/2017 16:20:41	    91.077 MHz	  7.8 V/m	  1.0 dBm	FAIL (LIMIT)	IP0: 21668	(1.53 V/m)	Digital: 0XFF
13/07/2017 16:20:46	    91.532 MHz	  7.0 V/m	  1.0 dBm	FAIL (LIMIT)	IP0: 21068	(1.05 V/m)	Digital: 0XFF
13/07/2017 16:20:51	    91.990 MHz	  6.4 V/m	  1.0 dBm	FAIL (LIMIT)	IP0: 20596	(0.67 V/m)	Digital: 0XFF
13/07/2017 16:20:56	    92.450 MHz	  6.1 V/m	  1.0 dBm	FAIL (LIMIT)	IP0: 20317	(0.33 V/m)	Digital: 0XFF
13/07/2017 16:21:01	    92.912 MHz	  5.8 V/m	  1.0 dBm	FAIL (LIMIT)	IP0: 20144	(0.08 V/m)	Digital: 0XFF
13/07/2017 16:21:06	    93.377 MHz	  5.5 V/m	  1.0 dBm	FAIL (LIMIT)	IP0: 20012	(-0.13 V/m)	Digital: 0XFF
13/07/2017 16:21:11	    93.843 MHz	  5.3 V/m	  1.0 dBm	FAIL (LIMIT)	IP0: 19977	(-0.25 V/m)	Digital: 0XFF
13/07/2017 16:21:16	    94.313 MHz	  5.4 V/m	  1.0 dBm	FAIL (LIMIT)	IP0: 19960	(-0.36 V/m)	Digital: 0XFF
13/07/2017 16:21:21	    94.784 MHz	  5.7 V/m	  1.0 dBm	FAIL (LIMIT)	IP0: 20269	(-0.17 V/m)	Digital: 0XFF
13/07/2017 16:21:26	    95.258 MHz	  6.0 V/m	  1.0 dBm	FAIL (LIMIT)	IP0: 20668	(0.11 V/m)	Digital: 0XFF
13/07/2017 16:21:31	    95.734 MHz	  6.4 V/m	  1.0 dBm	FAIL (LIMIT)	IP0: 21244	(0.57 V/m)	Digital: 0XFF
13/07/2017 16:21:36	    96.213 MHz	  6.7 V/m	  1.0 dBm	FAIL (LIMIT)	IP0: 21681	(0.90 V/m)	Digital: 0XFF
13/07/2017 16:21:41	    96.694 MHz	  6.8 V/m	  1.0 dBm	FAIL (LIMIT)	IP0: 21832	(0.95 V/m)	Digital: 0XFF
13/07/2017 16:21:46	    97.178 MHz	  6.7 V/m	  1.0 dBm	FAIL (LIMIT)	IP0: 21793	(0.83 V/m)	Digital: 0XFF
13/07/2017 16:21:51	    97.664 MHz	  6.5 V/m	  1.0 dBm	FAIL (LIMIT)	IP0: 21660	(0.61 V/m)	Digital: 0XFF
13/07/2017 16:21:56	    98.152 MHz	  6.3 V/m	  1.0 dBm	FAIL (LIMIT)	IP0: 21503	(0.36 V/m)	Digital: 0XFF
13/07/2017 16:22:01	    98.643 MHz	  6.1 V/m	  1.0 dBm	FAIL (LIMIT)	IP0: 21375	(0.14 V/m)	Digital: 0XFF
13/07/2017 16:22:06	    99.136 MHz	  5.9 V/m	  1.0 dBm	FAIL (LIMIT)	IP0: 21379	(0.05 V/m)	Digital: 0XFF
13/07/2017 16:22:11	    99.632 MHz	  5.8 V/m	  1.0 dBm	FAIL (LIMIT)	IP0: 21641	(0.21 V/m)	Digital: 0XFF
13/07/2017 16:22:17	   100.130 MHz	  5.8 V/m	  1.0 dBm	FAIL (LIMIT)	IP0: 21996	(0.52 V/m)	Digital: 0XFF
13/07/2017 16:22:22	   100.630 MHz	  6.0 V/m	  1.0 dBm	FAIL (LIMIT)	IP0: 22300	(0.95 V/m)	Digital: 0XFF
13/07/2017 16:22:27	   101.133 MHz	  6.1 V/m	  1.0 dBm	FAIL (LIMIT)	IP0: 22520	(1.28 V/m)	Digital: 0XFF
13/07/2017 16:22:32	   101.639 MHz	  6.2 V/m	  1.0 dBm	FAIL (LIMIT)	IP0: 22866	(1.72 V/m)	Digital: 0XFF
13/07/2017 16:22:37	   102.147 MHz	  6.1 V/m	  1.0 dBm	FAIL (LIMIT)	IP0: 23050	(1.99 V/m)	Digital: 0XFF
13/07/2017 16:22:42	   102.658 MHz	  5.9 V/m	  1.0 dBm	FAIL (LIMIT)	IP0: 23118	(2.15 V/m)	Digital: 0XFF
13/07/2017 16:22:47	   103.171 MHz	  5.6 V/m	  1.0 dBm	FAIL (LIMIT)	IP0: 23169	(2.28 V/m)	Digital: 0XFF
13/07/2017 16:22:52	   103.687 MHz	  5.4 V/m	  1.0 dBm	FAIL (LIMIT)	IP0: 23207	(2.41 V/m)	Digital: 0XFF
13/07/2017 16:22:57	   104.206 MHz	  5.2 V/m	  1.0 dBm	FAIL (LIMIT)	IP0: 23200	(2.45 V/m)	Digital: 0XFF
13/07/2017 16:23:02	   104.727 MHz	  5.0 V/m	  1.0 dBm	FAIL (LIMIT)	IP0: 22981	(2.27 V/m)	Digital: 0XFF
13/07/2017 16:23:07	   105.250 MHz	  5.0 V/m	  1.0 dBm	FAIL (LIMIT)	IP0: 22781	(2.10 V/m)	Digital: 0XFF
