12/10/2017 14:15:59	    80.000 MHz	 17.7 V/m	 -8.6 dBm	OK	IP0: 30049	(10.93 V/m)	Digital: 0XFF
12/10/2017 14:16:06	    80.400 MHz	 18.0 V/m	 -8.6 dBm	OK	IP0: 30097	(10.97 V/m)	Digital: 0XFF
12/10/2017 14:16:12	    80.802 MHz	 18.1 V/m	 -8.6 dBm	OK	IP0: 30036	(11.06 V/m)	Digital: 0XFF
12/10/2017 14:16:19	    81.206 MHz	 18.0 V/m	 -8.7 dBm	OK	IP0: 29885	(11.07 V/m)	Digital: 0XFF
12/10/2017 14:16:26	    81.612 MHz	 18.1 V/m	 -8.7 dBm	OK	IP0: 29914	(11.16 V/m)	Digital: 0XFF
12/10/2017 14:16:32	    82.020 MHz	 18.0 V/m	 -8.8 dBm	OK	IP0: 29847	(11.19 V/m)	Digital: 0XFF
12/10/2017 14:16:39	    82.430 MHz	 17.7 V/m	 -9.0 dBm	OK	IP0: 29715	(11.05 V/m)	Digital: 0XFF
12/10/2017 14:16:45	    82.842 MHz	 17.6 V/m	 -9.1 dBm	OK	IP0: 29584	(11.11 V/m)	Digital: 0XFF
12/10/2017 14:16:51	    83.257 MHz	 17.6 V/m	 -9.2 dBm	OK	IP0: 29552	(11.08 V/m)	Digital: 0XFF
12/10/2017 14:16:57	    83.673 MHz	 17.5 V/m	 -9.3 dBm	OK	IP0: 29442	(11.08 V/m)	Digital: 0XFF
12/10/2017 14:17:02	    84.091 MHz	 18.0 V/m	 -9.4 dBm	OK	IP0: 29352	(11.05 V/m)	Digital: 0XFF
12/10/2017 14:17:08	    84.512 MHz	 17.6 V/m	 -9.4 dBm	OK	IP0: 29272	(11.08 V/m)	Digital: 0XFF
12/10/2017 14:17:14	    84.934 MHz	 17.9 V/m	 -9.3 dBm	OK	IP0: 29247	(11.18 V/m)	Digital: 0XFF
12/10/2017 14:17:20	    85.359 MHz	 17.8 V/m	 -9.4 dBm	OK	IP0: 29136	(11.04 V/m)	Digital: 0XFF
12/10/2017 14:17:26	    85.786 MHz	 18.3 V/m	 -9.2 dBm	OK	IP0: 29221	(11.19 V/m)	Digital: 0XFF
12/10/2017 14:17:32	    86.215 MHz	 18.2 V/m	 -9.3 dBm	OK	IP0: 29050	(11.13 V/m)	Digital: 0XFF
12/10/2017 14:17:38	    86.646 MHz	 18.7 V/m	 -9.2 dBm	OK	IP0: 29061	(11.13 V/m)	Digital: 0XFF
12/10/2017 14:17:44	    87.079 MHz	 19.1 V/m	 -9.1 dBm	OK	IP0: 28976	(11.09 V/m)	Digital: 0XFF
12/10/2017 14:17:59	    87.514 MHz	 20.0 V/m	 -8.9 dBm	OK	IP0: 28914	(11.17 V/m)	Digital: 0XFF
12/10/2017 14:18:06	    87.952 MHz	 20.4 V/m	 -8.8 dBm	OK	IP0: 28819	(11.12 V/m)	Digital: 0XFF
12/10/2017 14:18:11	    88.392 MHz	 21.9 V/m	 -8.5 dBm	OK	IP0: 28816	(11.14 V/m)	Digital: 0XFF
12/10/2017 14:18:17	    88.834 MHz	 21.3 V/m	 -8.6 dBm	OK	IP0: 28719	(11.14 V/m)	Digital: 0XFF
12/10/2017 14:18:23	    89.278 MHz	 21.3 V/m	 -8.6 dBm	OK	IP0: 28642	(11.08 V/m)	Digital: 0XFF
12/10/2017 14:18:29	    89.724 MHz	 21.5 V/m	 -8.5 dBm	OK	IP0: 28665	(11.20 V/m)	Digital: 0XFF
12/10/2017 14:18:35	    90.173 MHz	 21.2 V/m	 -8.6 dBm	OK	IP0: 28501	(11.09 V/m)	Digital: 0XFF
12/10/2017 14:18:41	    90.624 MHz	 21.4 V/m	 -8.6 dBm	OK	IP0: 28497	(11.13 V/m)	Digital: 0XFF
12/10/2017 14:18:47	    91.077 MHz	 21.3 V/m	 -8.7 dBm	OK	IP0: 28372	(11.14 V/m)	Digital: 0XFF
12/10/2017 14:18:53	    91.532 MHz	 21.4 V/m	 -8.8 dBm	OK	IP0: 28382	(11.18 V/m)	Digital: 0XFF
12/10/2017 14:18:59	    91.990 MHz	 21.0 V/m	 -9.0 dBm	OK	IP0: 28290	(11.18 V/m)	Digital: 0XFF
12/10/2017 14:19:06	    92.450 MHz	 20.7 V/m	 -9.1 dBm	OK	IP0: 28242	(10.97 V/m)	Digital: 0XFF
12/10/2017 14:19:12	    92.912 MHz	 21.4 V/m	 -8.7 dBm	OK	IP0: 28434	(11.19 V/m)	Digital: 0XFF
12/10/2017 14:19:19	    93.377 MHz	 21.3 V/m	 -8.7 dBm	OK	IP0: 28375	(11.11 V/m)	Digital: 0XFF
12/10/2017 14:19:25	    93.843 MHz	 21.7 V/m	 -8.5 dBm	OK	IP0: 28518	(11.19 V/m)	Digital: 0XFF
12/10/2017 14:19:31	    94.313 MHz	 21.7 V/m	 -8.4 dBm	OK	IP0: 28527	(11.18 V/m)	Digital: 0XFF
12/10/2017 14:19:37	    94.784 MHz	 21.7 V/m	 -8.4 dBm	OK	IP0: 28601	(11.11 V/m)	Digital: 0XFF
12/10/2017 14:19:42	    95.258 MHz	 22.6 V/m	 -8.3 dBm	OK	IP0: 28680	(11.20 V/m)	Digital: 0XFF
12/10/2017 14:19:48	    95.734 MHz	 21.7 V/m	 -8.4 dBm	OK	IP0: 28709	(11.20 V/m)	Digital: 0XFF
12/10/2017 14:19:55	    96.213 MHz	 21.6 V/m	 -8.4 dBm	OK	IP0: 28830	(11.18 V/m)	Digital: 0XFF
12/10/2017 14:20:01	    96.694 MHz	 21.4 V/m	 -8.5 dBm	OK	IP0: 28866	(11.18 V/m)	Digital: 0XFF
12/10/2017 14:20:07	    97.178 MHz	 21.0 V/m	 -8.7 dBm	OK	IP0: 28864	(11.04 V/m)	Digital: 0XFF
12/10/2017 14:20:13	    97.664 MHz	 21.1 V/m	 -8.7 dBm	OK	IP0: 28968	(11.08 V/m)	Digital: 0XFF
12/10/2017 14:20:19	    98.152 MHz	 21.2 V/m	 -8.6 dBm	OK	IP0: 29091	(11.16 V/m)	Digital: 0XFF
12/10/2017 14:20:25	    98.643 MHz	 21.1 V/m	 -8.7 dBm	OK	IP0: 29101	(11.16 V/m)	Digital: 0XFF
12/10/2017 14:20:31	    99.136 MHz	 20.6 V/m	 -8.9 dBm	OK	IP0: 29110	(11.03 V/m)	Digital: 0XFF
12/10/2017 14:20:38	    99.632 MHz	 20.5 V/m	 -8.9 dBm	OK	IP0: 29219	(11.09 V/m)	Digital: 0XFF
12/10/2017 14:20:44	   100.130 MHz	 20.4 V/m	 -8.9 dBm	OK	IP0: 29276	(11.19 V/m)	Digital: 0XFF
12/10/2017 14:20:51	   100.630 MHz	 19.9 V/m	 -9.1 dBm	OK	IP0: 29204	(11.12 V/m)	Digital: 0XFF
