13/10/2017 11:40:13	    80.000 MHz	 17.2 V/m	 -8.4 dBm	OK	IP0: 30127	(10.99 V/m)	Digital: 0XFF
13/10/2017 11:40:19	    80.400 MHz	 17.5 V/m	 -8.3 dBm	OK	IP0: 30101	(11.15 V/m)	Digital: 0XFF
13/10/2017 11:40:25	    80.802 MHz	 17.3 V/m	 -8.4 dBm	OK	IP0: 30014	(11.19 V/m)	Digital: 0XFF
13/10/2017 11:40:31	    81.206 MHz	 17.3 V/m	 -8.5 dBm	OK	IP0: 29995	(11.17 V/m)	Digital: 0XFF
13/10/2017 11:40:37	    81.612 MHz	 17.0 V/m	 -8.6 dBm	OK	IP0: 29825	(11.15 V/m)	Digital: 0XFF
13/10/2017 11:40:43	    82.020 MHz	 16.9 V/m	 -8.7 dBm	OK	IP0: 29751	(11.09 V/m)	Digital: 0XFF
13/10/2017 11:40:49	    82.430 MHz	 16.6 V/m	 -8.8 dBm	OK	IP0: 29704	(11.20 V/m)	Digital: 0XFF
13/10/2017 11:40:55	    82.842 MHz	 16.3 V/m	 -9.0 dBm	OK	IP0: 29541	(11.13 V/m)	Digital: 0XFF
13/10/2017 11:41:00	    83.257 MHz	 16.6 V/m	 -9.0 dBm	OK	IP0: 29544	(11.19 V/m)	Digital: 0XFF
13/10/2017 11:41:06	    83.673 MHz	 15.7 V/m	 -9.2 dBm	OK	IP0: 29451	(11.14 V/m)	Digital: 0XFF
13/10/2017 11:41:12	    84.091 MHz	 15.2 V/m	 -9.3 dBm	OK	IP0: 29328	(11.17 V/m)	Digital: 0XFF
13/10/2017 11:41:18	    84.512 MHz	 14.9 V/m	 -9.3 dBm	OK	IP0: 29320	(11.20 V/m)	Digital: 0XFF
13/10/2017 11:41:24	    84.934 MHz	 14.7 V/m	 -9.4 dBm	OK	IP0: 29201	(11.14 V/m)	Digital: 0XFF
13/10/2017 11:41:30	    85.359 MHz	 14.8 V/m	 -9.3 dBm	OK	IP0: 29234	(11.17 V/m)	Digital: 0XFF
13/10/2017 11:41:36	    85.786 MHz	 14.6 V/m	 -9.3 dBm	OK	IP0: 29128	(11.17 V/m)	Digital: 0XFF
13/10/2017 11:41:42	    86.215 MHz	 14.3 V/m	 -9.4 dBm	OK	IP0: 29040	(11.03 V/m)	Digital: 0XFF
13/10/2017 11:41:48	    86.646 MHz	 14.3 V/m	 -9.2 dBm	OK	IP0: 29026	(11.17 V/m)	Digital: 0XFF
13/10/2017 11:41:54	    87.079 MHz	 14.1 V/m	 -9.1 dBm	OK	IP0: 28904	(11.11 V/m)	Digital: 0XFF
13/10/2017 11:42:00	    87.514 MHz	 14.2 V/m	 -9.0 dBm	OK	IP0: 28864	(11.04 V/m)	Digital: 0XFF
13/10/2017 11:42:05	    87.952 MHz	 15.1 V/m	 -9.0 dBm	OK	IP0: 28806	(11.14 V/m)	Digital: 0XFF
13/10/2017 11:42:11	    88.392 MHz	 14.8 V/m	 -8.8 dBm	OK	IP0: 28800	(11.19 V/m)	Digital: 0XFF
13/10/2017 11:42:17	    88.834 MHz	 14.7 V/m	 -8.9 dBm	OK	IP0: 28679	(11.12 V/m)	Digital: 0XFF
13/10/2017 11:42:23	    89.278 MHz	 14.8 V/m	 -8.9 dBm	OK	IP0: 28644	(11.10 V/m)	Digital: 0XFF
13/10/2017 11:42:29	    89.724 MHz	 14.3 V/m	 -9.0 dBm	OK	IP0: 28566	(11.14 V/m)	Digital: 0XFF
13/10/2017 11:42:35	    90.173 MHz	 14.0 V/m	 -8.9 dBm	OK	IP0: 28563	(11.15 V/m)	Digital: 0XFF
13/10/2017 11:42:41	    90.624 MHz	 13.4 V/m	 -9.1 dBm	OK	IP0: 28425	(11.09 V/m)	Digital: 0XFF
13/10/2017 11:42:47	    91.077 MHz	 13.2 V/m	 -9.2 dBm	OK	IP0: 28313	(11.01 V/m)	Digital: 0XFF
13/10/2017 11:42:53	    91.532 MHz	 13.3 V/m	 -9.3 dBm	OK	IP0: 28263	(11.14 V/m)	Digital: 0XFF
13/10/2017 11:42:59	    91.990 MHz	 13.4 V/m	 -9.4 dBm	OK	IP0: 28179	(11.15 V/m)	Digital: 0XFF
13/10/2017 11:43:04	    92.450 MHz	 14.4 V/m	 -9.3 dBm	OK	IP0: 28228	(11.10 V/m)	Digital: 0XFF
13/10/2017 11:43:09	    92.912 MHz	 15.0 V/m	 -9.1 dBm	OK	IP0: 28277	(11.02 V/m)	Digital: 0XFF
13/10/2017 11:43:13	    93.377 MHz	 15.6 V/m	 -9.0 dBm	OK	IP0: 28334	(11.09 V/m)	Digital: 0XFF
13/10/2017 11:43:17	    93.843 MHz	 15.9 V/m	 -8.8 dBm	OK	IP0: 28428	(11.20 V/m)	Digital: 0XFF
