13/10/2017 09:25:53	    80.000 MHz	 13.5 V/m	 -8.6 dBm	OK	IP0: 30019	(10.83 V/m)	Digital: 0XFF
13/10/2017 09:25:59	    80.400 MHz	 13.8 V/m	 -8.5 dBm	OK	IP0: 30051	(11.19 V/m)	Digital: 0XFF
13/10/2017 09:26:05	    80.802 MHz	 13.7 V/m	 -8.5 dBm	OK	IP0: 30032	(11.19 V/m)	Digital: 0XFF
13/10/2017 09:26:11	    81.206 MHz	 13.6 V/m	 -8.6 dBm	OK	IP0: 29907	(11.16 V/m)	Digital: 0XFF
13/10/2017 09:26:17	    81.612 MHz	 13.5 V/m	 -8.7 dBm	OK	IP0: 29843	(11.14 V/m)	Digital: 0XFF
13/10/2017 09:26:23	    82.020 MHz	 13.4 V/m	 -8.8 dBm	OK	IP0: 29800	(11.19 V/m)	Digital: 0XFF
13/10/2017 09:26:29	    82.430 MHz	 13.2 V/m	 -8.9 dBm	OK	IP0: 29691	(11.20 V/m)	Digital: 0XFF
13/10/2017 09:26:44	    82.842 MHz	 13.2 V/m	 -8.9 dBm	OK	IP0: 29625	(11.19 V/m)	Digital: 0XFF
13/10/2017 09:26:50	    83.257 MHz	 12.5 V/m	 -9.1 dBm	OK	IP0: 29544	(11.14 V/m)	Digital: 0XFF
13/10/2017 09:26:56	    83.673 MHz	 12.0 V/m	 -9.3 dBm	OK	IP0: 29410	(11.19 V/m)	Digital: 0XFF
13/10/2017 09:27:02	    84.091 MHz	 11.5 V/m	 -9.5 dBm	OK	IP0: 29301	(11.17 V/m)	Digital: 0XFF
13/10/2017 09:27:08	    84.512 MHz	 11.4 V/m	 -9.4 dBm	OK	IP0: 29265	(11.11 V/m)	Digital: 0XFF
13/10/2017 09:27:14	    84.934 MHz	 11.2 V/m	 -9.5 dBm	OK	IP0: 29164	(11.07 V/m)	Digital: 0XFF
13/10/2017 09:27:20	    85.359 MHz	 11.3 V/m	 -9.4 dBm	OK	IP0: 29190	(11.13 V/m)	Digital: 0XFF
13/10/2017 09:27:26	    85.786 MHz	 11.1 V/m	 -9.5 dBm	OK	IP0: 29046	(11.09 V/m)	Digital: 0XFF
13/10/2017 09:27:33	    86.215 MHz	 11.1 V/m	 -9.5 dBm	OK	IP0: 28987	(11.04 V/m)	Digital: 0XFF
13/10/2017 09:27:39	    86.646 MHz	 11.1 V/m	 -9.4 dBm	OK	IP0: 28957	(11.15 V/m)	Digital: 0XFF
13/10/2017 09:27:45	    87.079 MHz	 11.3 V/m	 -9.2 dBm	OK	IP0: 28972	(11.18 V/m)	Digital: 0XFF
13/10/2017 09:27:51	    87.514 MHz	 11.4 V/m	 -9.2 dBm	OK	IP0: 28880	(11.15 V/m)	Digital: 0XFF
13/10/2017 09:27:57	    87.952 MHz	 11.5 V/m	 -9.1 dBm	OK	IP0: 28847	(11.05 V/m)	Digital: 0XFF
13/10/2017 09:28:03	    88.392 MHz	 11.7 V/m	 -9.0 dBm	OK	IP0: 28820	(11.17 V/m)	Digital: 0XFF
13/10/2017 09:28:09	    88.834 MHz	 11.4 V/m	 -9.2 dBm	OK	IP0: 28654	(11.14 V/m)	Digital: 0XFF
13/10/2017 09:28:15	    89.278 MHz	 11.4 V/m	 -9.1 dBm	OK	IP0: 28640	(11.17 V/m)	Digital: 0XFF
13/10/2017 09:28:21	    89.724 MHz	 11.2 V/m	 -9.2 dBm	OK	IP0: 28579	(11.16 V/m)	Digital: 0XFF
13/10/2017 09:28:27	    90.173 MHz	 11.2 V/m	 -9.2 dBm	OK	IP0: 28508	(11.19 V/m)	Digital: 0XFF
13/10/2017 09:28:33	    90.624 MHz	 11.3 V/m	 -9.2 dBm	OK	IP0: 28512	(11.17 V/m)	Digital: 0XFF
13/10/2017 09:28:39	    91.077 MHz	 11.7 V/m	 -9.3 dBm	OK	IP0: 28454	(11.19 V/m)	Digital: 0XFF
13/10/2017 09:28:46	    91.532 MHz	 11.8 V/m	 -9.5 dBm	OK	IP0: 28290	(11.06 V/m)	Digital: 0XFF
13/10/2017 09:28:50	    91.990 MHz	 13.2 V/m	 -9.5 dBm	OK	IP0: 28258	(11.18 V/m)	Digital: 0XFF
13/10/2017 09:28:56	    92.450 MHz	 12.7 V/m	 -9.5 dBm	OK	IP0: 28231	(11.17 V/m)	Digital: 0XFF
13/10/2017 09:29:02	    92.912 MHz	 13.1 V/m	 -9.5 dBm	OK	IP0: 28285	(11.05 V/m)	Digital: 0XFF
13/10/2017 09:29:06	    93.377 MHz	 14.6 V/m	 -9.0 dBm	OK	IP0: 28417	(11.19 V/m)	Digital: 0XFF
13/10/2017 09:29:12	    93.843 MHz	 14.7 V/m	 -9.0 dBm	OK	IP0: 28442	(11.06 V/m)	Digital: 0XFF
13/10/2017 09:29:18	    94.313 MHz	 15.5 V/m	 -8.8 dBm	OK	IP0: 28491	(11.13 V/m)	Digital: 0XFF
13/10/2017 09:29:24	    94.784 MHz	 16.5 V/m	 -8.5 dBm	OK	IP0: 28625	(11.16 V/m)	Digital: 0XFF
13/10/2017 09:29:30	    95.258 MHz	 17.3 V/m	 -8.5 dBm	OK	IP0: 28636	(11.18 V/m)	Digital: 0XFF
13/10/2017 09:29:37	    95.734 MHz	 18.1 V/m	 -8.4 dBm	OK	IP0: 28610	(10.97 V/m)	Digital: 0XFF
13/10/2017 09:29:43	    96.213 MHz	 19.5 V/m	 -8.1 dBm	OK	IP0: 28792	(11.20 V/m)	Digital: 0XFF
13/10/2017 09:29:48	    96.694 MHz	 20.9 V/m	 -8.1 dBm	OK	IP0: 28803	(11.12 V/m)	Digital: 0XFF
13/10/2017 09:29:54	    97.178 MHz	 21.6 V/m	 -8.0 dBm	OK	IP0: 28885	(11.13 V/m)	Digital: 0XFF
13/10/2017 09:30:00	    97.664 MHz	 22.6 V/m	 -7.9 dBm	OK	IP0: 29003	(11.19 V/m)	Digital: 0XFF
13/10/2017 09:30:06	    98.152 MHz	 22.7 V/m	 -8.1 dBm	OK	IP0: 29016	(11.15 V/m)	Digital: 0XFF
13/10/2017 09:30:12	    98.643 MHz	 22.8 V/m	 -8.1 dBm	OK	IP0: 29057	(11.13 V/m)	Digital: 0XFF
13/10/2017 09:30:18	    99.136 MHz	 22.6 V/m	 -8.2 dBm	OK	IP0: 29085	(11.06 V/m)	Digital: 0XFF
13/10/2017 09:30:24	    99.632 MHz	 22.7 V/m	 -8.2 dBm	OK	IP0: 29173	(11.17 V/m)	Digital: 0XFF
13/10/2017 09:30:29	   100.130 MHz	 23.4 V/m	 -8.3 dBm	OK	IP0: 29214	(11.09 V/m)	Digital: 0XFF
13/10/2017 09:30:35	   100.630 MHz	 22.1 V/m	 -8.4 dBm	OK	IP0: 29242	(11.19 V/m)	Digital: 0XFF
13/10/2017 09:30:41	   101.133 MHz	 21.0 V/m	 -8.9 dBm	OK	IP0: 29099	(11.10 V/m)	Digital: 0XFF
13/10/2017 09:30:47	   101.639 MHz	 20.4 V/m	 -9.1 dBm	OK	IP0: 29049	(11.05 V/m)	Digital: 0XFF
13/10/2017 09:30:53	   102.147 MHz	 20.0 V/m	 -9.3 dBm	OK	IP0: 29040	(11.17 V/m)	Digital: 0XFF
13/10/2017 09:30:59	   102.658 MHz	 19.3 V/m	 -9.6 dBm	OK	IP0: 28972	(11.04 V/m)	Digital: 0XFF
13/10/2017 09:31:05	   103.171 MHz	 18.8 V/m	 -9.8 dBm	OK	IP0: 28931	(11.10 V/m)	Digital: 0XFF
13/10/2017 09:31:12	   103.687 MHz	 17.9 V/m	-10.2 dBm	OK	IP0: 28787	(11.05 V/m)	Digital: 0XFF
13/10/2017 09:31:18	   104.206 MHz	 17.4 V/m	-10.4 dBm	OK	IP0: 28805	(11.07 V/m)	Digital: 0XFF
13/10/2017 09:31:25	   104.727 MHz	 16.9 V/m	-10.5 dBm	OK	IP0: 28801	(11.00 V/m)	Digital: 0XFF
13/10/2017 09:31:32	   105.250 MHz	 16.2 V/m	-10.7 dBm	OK	IP0: 28748	(10.97 V/m)	Digital: 0XFF
13/10/2017 09:31:38	   105.777 MHz	 15.8 V/m	-10.7 dBm	OK	IP0: 28826	(11.07 V/m)	Digital: 0XFF
13/10/2017 09:31:44	   106.305 MHz	 15.4 V/m	-10.7 dBm	OK	IP0: 28841	(11.18 V/m)	Digital: 0XFF
13/10/2017 09:31:50	   106.837 MHz	 15.1 V/m	-10.7 dBm	OK	IP0: 28833	(11.06 V/m)	Digital: 0XFF
13/10/2017 09:31:56	   107.371 MHz	 14.7 V/m	-10.7 dBm	OK	IP0: 28826	(11.07 V/m)	Digital: 0XFF
13/10/2017 09:32:02	   107.908 MHz	 14.6 V/m	-10.6 dBm	OK	IP0: 28881	(11.19 V/m)	Digital: 0XFF
13/10/2017 09:32:08	   108.448 MHz	 14.3 V/m	-10.7 dBm	OK	IP0: 28849	(11.16 V/m)	Digital: 0XFF
13/10/2017 09:32:13	   108.990 MHz	 14.6 V/m	-10.7 dBm	OK	IP0: 28845	(11.18 V/m)	Digital: 0XFF
13/10/2017 09:32:19	   109.535 MHz	 14.0 V/m	-10.7 dBm	OK	IP0: 28863	(11.10 V/m)	Digital: 0XFF
13/10/2017 09:32:26	   110.082 MHz	 14.0 V/m	-10.8 dBm	OK	IP0: 28794	(11.08 V/m)	Digital: 0XFF
13/10/2017 09:32:32	   110.633 MHz	 14.2 V/m	-10.7 dBm	OK	IP0: 28817	(11.13 V/m)	Digital: 0XFF
13/10/2017 09:32:37	   111.186 MHz	 15.1 V/m	-10.5 dBm	OK	IP0: 28854	(11.19 V/m)	Digital: 0XFF
13/10/2017 09:32:43	   111.742 MHz	 15.1 V/m	-10.4 dBm	OK	IP0: 28868	(11.17 V/m)	Digital: 0XFF
13/10/2017 09:32:48	   112.301 MHz	 15.5 V/m	-10.4 dBm	OK	IP0: 28815	(11.13 V/m)	Digital: 0XFF
13/10/2017 09:32:53	   112.862 MHz	 15.5 V/m	-10.4 dBm	OK	IP0: 28684	(11.09 V/m)	Digital: 0XFF
13/10/2017 09:32:59	   113.426 MHz	 15.0 V/m	-10.3 dBm	OK	IP0: 28590	(11.14 V/m)	Digital: 0XFF
13/10/2017 09:33:05	   113.994 MHz	 15.2 V/m	-10.2 dBm	OK	IP0: 28552	(11.15 V/m)	Digital: 0XFF
13/10/2017 09:33:11	   114.564 MHz	 15.0 V/m	-10.2 dBm	OK	IP0: 28454	(11.10 V/m)	Digital: 0XFF
13/10/2017 09:33:17	   115.136 MHz	 15.0 V/m	-10.3 dBm	OK	IP0: 28325	(11.09 V/m)	Digital: 0XFF
13/10/2017 09:33:23	   115.712 MHz	 15.2 V/m	-10.2 dBm	OK	IP0: 28280	(11.14 V/m)	Digital: 0XFF
13/10/2017 09:33:29	   116.291 MHz	 15.0 V/m	-10.4 dBm	OK	IP0: 28125	(11.05 V/m)	Digital: 0XFF
13/10/2017 09:33:35	   116.872 MHz	 14.7 V/m	-10.5 dBm	OK	IP0: 27965	(11.17 V/m)	Digital: 0XFF
13/10/2017 09:33:41	   117.456 MHz	 14.2 V/m	-10.7 dBm	OK	IP0: 27792	(11.01 V/m)	Digital: 0XFF
