17/01/2018 12:11:26	     1.000 MHz	  4.3 V/m	-29.8 dBm	OK
17/01/2018 12:11:30	     1.010 MHz	  4.3 V/m	-29.6 dBm	OK
17/01/2018 12:11:33	     1.020 MHz	  4.3 V/m	-29.6 dBm	OK
17/01/2018 12:11:36	     1.030 MHz	  4.3 V/m	-29.6 dBm	OK
17/01/2018 12:11:39	     1.041 MHz	  4.3 V/m	-29.6 dBm	OK
17/01/2018 12:11:42	     1.051 MHz	  4.3 V/m	-29.6 dBm	OK
17/01/2018 12:11:45	     1.062 MHz	  4.3 V/m	-29.6 dBm	OK
17/01/2018 12:11:48	     1.072 MHz	  4.3 V/m	-29.6 dBm	OK
17/01/2018 12:11:52	     1.083 MHz	  4.3 V/m	-29.6 dBm	OK
17/01/2018 12:11:55	     1.094 MHz	  4.3 V/m	-29.6 dBm	OK
17/01/2018 12:11:59	     1.105 MHz	  4.3 V/m	-29.6 dBm	OK
17/01/2018 12:12:02	     1.116 MHz	  4.3 V/m	-29.6 dBm	OK
17/01/2018 12:12:05	     1.127 MHz	  4.3 V/m	-29.6 dBm	OK
17/01/2018 12:12:08	     1.138 MHz	  4.3 V/m	-29.6 dBm	OK
17/01/2018 12:12:11	     1.149 MHz	  4.3 V/m	-29.6 dBm	OK
17/01/2018 12:12:14	     1.161 MHz	  4.3 V/m	-29.6 dBm	OK
17/01/2018 12:12:17	     1.173 MHz	  4.3 V/m	-29.6 dBm	OK
17/01/2018 12:12:20	     1.184 MHz	  4.3 V/m	-29.6 dBm	OK
17/01/2018 12:12:23	     1.196 MHz	  4.3 V/m	-29.6 dBm	OK
17/01/2018 12:12:26	     1.208 MHz	  4.3 V/m	-29.6 dBm	OK
17/01/2018 12:12:29	     1.220 MHz	  4.3 V/m	-29.6 dBm	OK
17/01/2018 12:12:33	     1.232 MHz	  4.3 V/m	-29.6 dBm	OK
17/01/2018 12:12:37	     1.245 MHz	  4.3 V/m	-29.2 dBm	OK
17/01/2018 12:12:40	     1.257 MHz	  4.3 V/m	-29.2 dBm	OK
17/01/2018 12:12:43	     1.270 MHz	  4.3 V/m	-29.2 dBm	OK
17/01/2018 12:12:46	     1.282 MHz	  4.3 V/m	-29.2 dBm	OK
17/01/2018 12:12:49	     1.295 MHz	  4.3 V/m	-29.2 dBm	OK
17/01/2018 12:12:53	     1.308 MHz	  4.3 V/m	-29.2 dBm	OK
17/01/2018 12:12:57	     1.321 MHz	  4.3 V/m	-29.2 dBm	OK
17/01/2018 12:13:00	     1.335 MHz	  4.3 V/m	-29.2 dBm	OK
17/01/2018 12:13:03	     1.348 MHz	  4.3 V/m	-29.2 dBm	OK
17/01/2018 12:13:06	     1.361 MHz	  4.3 V/m	-29.2 dBm	OK
17/01/2018 12:13:09	     1.375 MHz	  4.3 V/m	-29.2 dBm	OK
17/01/2018 12:13:12	     1.389 MHz	  4.3 V/m	-29.2 dBm	OK
17/01/2018 12:13:15	     1.403 MHz	  4.3 V/m	-29.2 dBm	OK
17/01/2018 12:13:18	     1.417 MHz	  4.3 V/m	-29.2 dBm	OK
17/01/2018 12:13:21	     1.431 MHz	  4.3 V/m	-29.2 dBm	OK
17/01/2018 12:13:25	     1.445 MHz	  4.3 V/m	-29.2 dBm	OK
17/01/2018 12:13:28	     1.460 MHz	  4.3 V/m	-29.2 dBm	OK
17/01/2018 12:13:31	     1.474 MHz	  4.3 V/m	-29.2 dBm	OK
17/01/2018 12:13:35	     1.489 MHz	  4.3 V/m	-29.2 dBm	OK
17/01/2018 12:13:38	     1.504 MHz	  4.3 V/m	-29.2 dBm	OK
17/01/2018 12:13:41	     1.519 MHz	  4.3 V/m	-29.2 dBm	OK
17/01/2018 12:13:44	     1.534 MHz	  4.3 V/m	-29.2 dBm	OK
17/01/2018 12:13:47	     1.549 MHz	  4.3 V/m	-29.2 dBm	OK
17/01/2018 12:13:50	     1.565 MHz	  4.3 V/m	-29.2 dBm	OK
17/01/2018 12:13:53	     1.580 MHz	  4.3 V/m	-29.2 dBm	OK
17/01/2018 12:13:56	     1.596 MHz	  4.3 V/m	-29.2 dBm	OK
17/01/2018 12:14:00	     1.612 MHz	  4.3 V/m	-29.2 dBm	OK
17/01/2018 12:14:03	     1.628 MHz	  4.3 V/m	-29.2 dBm	OK
17/01/2018 12:14:06	     1.645 MHz	  4.3 V/m	-29.2 dBm	OK
17/01/2018 12:14:09	     1.661 MHz	  4.3 V/m	-29.2 dBm	OK
17/01/2018 12:14:12	     1.678 MHz	  4.3 V/m	-29.2 dBm	OK
