23/01/2018 15:16:01	     0.150 MHz	 11.0 V/m	-12.2 dBm	OK
23/01/2018 15:16:05	     0.160 MHz	 11.2 V/m	-12.3 dBm	OK
23/01/2018 15:16:10	     0.170 MHz	 11.2 V/m	-12.7 dBm	OK
23/01/2018 15:16:14	     0.180 MHz	 11.2 V/m	-13.1 dBm	OK
23/01/2018 15:16:18	     0.190 MHz	 11.2 V/m	-13.3 dBm	OK
23/01/2018 15:16:22	     0.200 MHz	 11.2 V/m	-13.6 dBm	OK
23/01/2018 15:16:26	     0.210 MHz	 11.2 V/m	-13.9 dBm	OK
23/01/2018 15:16:31	     0.220 MHz	 11.2 V/m	-14.2 dBm	OK
23/01/2018 15:16:35	     0.230 MHz	 11.2 V/m	-14.4 dBm	OK
23/01/2018 15:16:39	     0.240 MHz	 11.4 V/m	-14.5 dBm	OK
23/01/2018 15:16:43	     0.250 MHz	 11.2 V/m	-14.7 dBm	OK
23/01/2018 15:16:47	     0.260 MHz	 11.2 V/m	-14.9 dBm	OK
23/01/2018 15:16:51	     0.270 MHz	 11.2 V/m	-15.1 dBm	OK
23/01/2018 15:16:55	     0.280 MHz	 11.2 V/m	-15.2 dBm	OK
23/01/2018 15:16:59	     0.290 MHz	 11.2 V/m	-15.4 dBm	OK
23/01/2018 15:17:03	     0.300 MHz	 11.2 V/m	-15.4 dBm	OK
23/01/2018 15:17:07	     0.310 MHz	 11.2 V/m	-15.5 dBm	OK
23/01/2018 15:17:11	     0.320 MHz	 11.2 V/m	-15.6 dBm	OK
23/01/2018 15:17:15	     0.330 MHz	 11.2 V/m	-15.7 dBm	OK
23/01/2018 15:17:19	     0.340 MHz	 11.2 V/m	-15.9 dBm	OK
23/01/2018 15:17:22	     0.350 MHz	 11.2 V/m	-15.9 dBm	OK
23/01/2018 15:17:25	     0.360 MHz	 11.2 V/m	-15.9 dBm	OK
23/01/2018 15:17:29	     0.370 MHz	 11.2 V/m	-16.0 dBm	OK
23/01/2018 15:17:33	     0.380 MHz	 11.0 V/m	-16.2 dBm	OK
23/01/2018 15:17:36	     0.390 MHz	 11.2 V/m	-16.2 dBm	OK
23/01/2018 15:17:39	     0.400 MHz	 11.2 V/m	-16.2 dBm	OK
23/01/2018 15:17:42	     0.410 MHz	 11.2 V/m	-16.2 dBm	OK
23/01/2018 15:17:45	     0.420 MHz	 11.2 V/m	-16.2 dBm	OK
23/01/2018 15:17:48	     0.430 MHz	 11.2 V/m	-16.2 dBm	OK
23/01/2018 15:17:52	     0.440 MHz	 11.2 V/m	-16.3 dBm	OK
23/01/2018 15:17:55	     0.450 MHz	 11.2 V/m	-16.3 dBm	OK
23/01/2018 15:17:59	     0.460 MHz	 11.2 V/m	-16.3 dBm	OK
23/01/2018 15:18:02	     0.470 MHz	 11.2 V/m	-16.3 dBm	OK
23/01/2018 15:18:05	     0.480 MHz	 11.2 V/m	-16.3 dBm	OK
23/01/2018 15:18:08	     0.490 MHz	 11.2 V/m	-16.3 dBm	OK
23/01/2018 15:18:12	     0.500 MHz	 11.0 V/m	-16.5 dBm	OK
23/01/2018 15:18:15	     0.510 MHz	 11.0 V/m	-16.5 dBm	OK
23/01/2018 15:18:18	     0.520 MHz	 11.0 V/m	-16.5 dBm	OK
23/01/2018 15:18:21	     0.530 MHz	 11.0 V/m	-16.5 dBm	OK
23/01/2018 15:18:24	     0.540 MHz	 11.0 V/m	-16.5 dBm	OK
23/01/2018 15:18:27	     0.550 MHz	 11.0 V/m	-16.5 dBm	OK
23/01/2018 15:18:31	     0.560 MHz	 11.0 V/m	-16.5 dBm	OK
