2018-02-06 13:18:43	     0.150 MHz	 21.8 V/m	 -7.7 dBm	OK
2018-02-06 13:18:47	     0.160 MHz	 21.8 V/m	 -8.0 dBm	OK
2018-02-06 13:18:51	     0.170 MHz	 22.1 V/m	 -8.2 dBm	OK
2018-02-06 13:18:55	     0.180 MHz	 22.1 V/m	 -8.5 dBm	OK
2018-02-06 13:18:59	     0.190 MHz	 22.1 V/m	 -8.7 dBm	OK
2018-02-06 13:29:02	     0.200 MHz	 21.8 V/m	 -9.0 dBm	OK
2018-02-06 13:29:06	     0.210 MHz	 22.1 V/m	 -9.1 dBm	OK
2018-02-06 13:29:10	     0.220 MHz	 21.8 V/m	 -9.3 dBm	OK
2018-02-06 13:29:14	     0.230 MHz	 22.1 V/m	 -9.4 dBm	OK
2018-02-06 13:29:18	     0.240 MHz	 22.1 V/m	 -9.6 dBm	OK
2018-02-06 13:29:21	     0.250 MHz	 22.1 V/m	 -9.6 dBm	OK
2018-02-06 13:29:25	     0.260 MHz	 21.8 V/m	 -9.9 dBm	OK
2018-02-06 13:29:28	     0.270 MHz	 22.1 V/m	 -9.9 dBm	OK
2018-02-06 13:29:32	     0.280 MHz	 22.1 V/m	-10.1 dBm	OK
2018-02-06 13:29:35	     0.290 MHz	 22.1 V/m	-10.1 dBm	OK
2018-02-06 13:29:38	     0.300 MHz	 22.1 V/m	-10.1 dBm	OK
2018-02-06 13:29:41	     0.310 MHz	 22.1 V/m	-10.2 dBm	OK
2018-02-06 13:29:45	     0.320 MHz	 22.1 V/m	-10.3 dBm	OK
2018-02-06 13:29:48	     0.330 MHz	 22.1 V/m	-10.3 dBm	OK
2018-02-06 13:29:52	     0.340 MHz	 22.1 V/m	-10.5 dBm	OK
2018-02-06 13:29:55	     0.350 MHz	 21.8 V/m	-10.5 dBm	OK
2018-02-06 13:29:58	     0.360 MHz	 22.1 V/m	-10.5 dBm	OK
2018-02-06 13:30:01	     0.370 MHz	 22.1 V/m	-10.5 dBm	OK
2018-02-06 13:30:04	     0.380 MHz	 22.1 V/m	-10.5 dBm	OK
2018-02-06 13:30:07	     0.390 MHz	 22.1 V/m	-10.5 dBm	OK
2018-02-06 13:30:10	     0.400 MHz	 22.1 V/m	-10.5 dBm	OK
2018-02-06 13:30:14	     0.410 MHz	 21.8 V/m	-10.7 dBm	OK
2018-02-06 13:30:17	     0.420 MHz	 21.8 V/m	-10.7 dBm	OK
2018-02-06 13:30:20	     0.430 MHz	 21.8 V/m	-10.7 dBm	OK
2018-02-06 13:30:23	     0.440 MHz	 21.8 V/m	-10.7 dBm	OK
2018-02-06 13:30:26	     0.450 MHz	 21.8 V/m	-10.7 dBm	OK
2018-02-06 13:30:29	     0.460 MHz	 21.8 V/m	-10.7 dBm	OK
2018-02-06 13:30:32	     0.470 MHz	 21.8 V/m	-10.7 dBm	OK
2018-02-06 13:30:35	     0.480 MHz	 21.8 V/m	-10.7 dBm	OK
2018-02-06 13:30:38	     0.490 MHz	 21.8 V/m	-10.7 dBm	OK
2018-02-06 13:30:41	     0.500 MHz	 21.8 V/m	-10.7 dBm	OK
2018-02-06 13:30:44	     0.510 MHz	 21.8 V/m	-10.7 dBm	OK
2018-02-06 13:30:47	     0.520 MHz	 21.8 V/m	-10.7 dBm	OK
2018-02-06 13:30:50	     0.530 MHz	 21.8 V/m	-10.7 dBm	OK
2018-02-06 13:30:53	     0.540 MHz	 21.8 V/m	-10.7 dBm	OK
2018-02-06 13:30:56	     0.550 MHz	 21.8 V/m	-10.7 dBm	OK
2018-02-06 13:30:59	     0.560 MHz	 21.8 V/m	-10.7 dBm	OK
2018-02-06 13:31:02	     0.570 MHz	 21.8 V/m	-10.7 dBm	OK
2018-02-06 13:31:05	     0.580 MHz	 21.8 V/m	-10.7 dBm	OK
2018-02-06 13:31:09	     0.590 MHz	 21.8 V/m	-10.6 dBm	OK
2018-02-06 13:31:12	     0.600 MHz	 21.8 V/m	-10.6 dBm	OK
2018-02-06 13:31:15	     0.610 MHz	 21.8 V/m	-10.6 dBm	OK
2018-02-06 13:31:18	     0.620 MHz	 21.8 V/m	-10.6 dBm	OK
2018-02-06 13:31:21	     0.630 MHz	 21.8 V/m	-10.6 dBm	OK
2018-02-06 13:31:25	     0.640 MHz	 21.8 V/m	-10.5 dBm	OK
2018-02-06 13:31:28	     0.650 MHz	 21.8 V/m	-10.5 dBm	OK
2018-02-06 13:31:31	     0.660 MHz	 21.8 V/m	-10.5 dBm	OK
2018-02-06 13:31:34	     0.670 MHz	 21.8 V/m	-10.5 dBm	OK
2018-02-06 13:31:37	     0.680 MHz	 21.8 V/m	-10.4 dBm	OK
2018-02-06 13:31:40	     0.690 MHz	 21.8 V/m	-10.4 dBm	OK
2018-02-06 13:31:43	     0.700 MHz	 21.8 V/m	-10.4 dBm	OK
2018-02-06 13:31:46	     0.710 MHz	 21.8 V/m	-10.4 dBm	OK
2018-02-06 13:31:50	     0.720 MHz	 21.8 V/m	-10.2 dBm	OK
2018-02-06 13:31:53	     0.730 MHz	 22.1 V/m	-10.2 dBm	OK
2018-02-06 13:31:56	     0.740 MHz	 22.1 V/m	-10.2 dBm	OK
2018-02-06 13:31:59	     0.750 MHz	 21.8 V/m	-10.2 dBm	OK
2018-02-06 13:32:02	     0.760 MHz	 21.8 V/m	-10.2 dBm	OK
2018-02-06 13:32:05	     0.770 MHz	 21.8 V/m	-10.2 dBm	OK
2018-02-06 13:32:08	     0.780 MHz	 21.8 V/m	-10.2 dBm	OK
2018-02-06 13:32:11	     0.790 MHz	 21.8 V/m	-10.2 dBm	OK
2018-02-06 13:32:15	     0.800 MHz	 21.8 V/m	-10.1 dBm	OK
2018-02-06 13:32:18	     0.810 MHz	 21.8 V/m	-10.1 dBm	OK
2018-02-06 13:32:21	     0.820 MHz	 21.8 V/m	-10.1 dBm	OK
2018-02-06 13:32:24	     0.830 MHz	 21.8 V/m	-10.1 dBm	OK
2018-02-06 13:32:28	     0.840 MHz	 21.8 V/m	-10.0 dBm	OK
2018-02-06 13:32:31	     0.850 MHz	 21.8 V/m	-10.0 dBm	OK
2018-02-06 13:32:34	     0.860 MHz	 21.8 V/m	-10.0 dBm	OK
2018-02-06 13:32:37	     0.870 MHz	 21.8 V/m	-10.0 dBm	OK
2018-02-06 13:32:40	     0.880 MHz	 21.8 V/m	-10.0 dBm	OK
2018-02-06 13:32:44	     0.890 MHz	 21.8 V/m	 -9.9 dBm	OK
2018-02-06 13:32:47	     0.900 MHz	 21.8 V/m	 -9.9 dBm	OK
2018-02-06 13:32:50	     0.910 MHz	 21.8 V/m	 -9.9 dBm	OK
2018-02-06 13:32:53	     0.920 MHz	 21.8 V/m	 -9.9 dBm	OK
2018-02-06 13:32:57	     0.930 MHz	 22.1 V/m	 -9.7 dBm	OK
2018-02-06 13:33:00	     0.940 MHz	 22.1 V/m	 -9.7 dBm	OK
2018-02-06 13:33:03	     0.950 MHz	 22.1 V/m	 -9.7 dBm	OK
2018-02-06 13:33:06	     0.960 MHz	 22.1 V/m	 -9.7 dBm	OK
2018-02-06 13:33:09	     0.970 MHz	 21.8 V/m	 -9.7 dBm	OK
2018-02-06 13:33:12	     0.980 MHz	 21.8 V/m	 -9.7 dBm	OK
2018-02-06 13:33:15	     0.990 MHz	 21.8 V/m	 -9.7 dBm	OK
2018-02-06 13:33:18	     1.000 MHz	 21.8 V/m	 -9.7 dBm	OK
